precise	question	risk	reason
module	dotnet/macios has no src/Matter bindings in this environment; Apple SDK headers are hashed but absent. Which cluster-enum raw values diverge from C-default sequential assignment in graph occurrence order?	c-abi	Pinned graphs omit integer payloads. Sequential NS_ENUM defaults are used except documented Darwin enums (MTRError, IM status, device state, transport, access-control privilege/auth starting at 1). Sparse Matter status/feature enums need an Apple-oracle probe.
c:@E@MTRAttributeIDType@MTRAttributeIDTypeClusterTimeSynchronizationAttributeTrustedTimeNodeIdID	What are the iOS 26.1 raw values for Time Synchronization attributes TrustedTimeNodeId, DefaultNtp, DstOffset, and NtpServerPort? The CHIP snapshot used for IDs lacks these enumerators.	c-abi	Four MTRAttributeIDType members have no matching CHIP Darwin constant; they are declared with host placeholders, not claimed as Apple IDs.
c:@E@MTRCommandIDType	Swift forbids duplicate enum raw values, but Matter command/attribute IDs are only unique per cluster. Does Apple's overlay alias colliding enumerators to the first case, and should equality across clusters be considered a host artifact?	c-abi	Host Swift enums alias identical numeric IDs; ObjC NS_ENUM allows duplicate enumerators.
c:@macro@MTR_ENABLE_PROVISIONAL	What are the compiled integer values of MTR_ENABLE_PROVISIONAL, MTR_ENABLE_UNSTABLE_API, and MTR_NO_AVAILABILITY in the Xcode 26.1 SDK?	c-abi	These are preprocessor macros; this host port exposes them as Int32 zeros matching typical CHIP defaults.
s:SC12MTRErrorCodeLeV	Does Linux CustomNSError bridging match Apple's _BridgedStoredNSError so that NSError(domain:code:) as? MTRError succeeds?	fail-closed	This overlay's as? MTRError is nil for a freshly constructed NSError; pattern match ~= still accepts domain/code. Apple runtime may differ.
c:objc(cs)MTRDeviceController	Which dispatch queue does MTRDeviceController use for commissioning callbacks, and is setupCommissioningSession allowed to fail synchronously when no controller factory is running?	network	No Matter fabric or DNS-SD stack is present; the host throws MTRError.invalidState on the calling thread.
c:objc(pl)MTRKeypair(im)copyPublicKey	Is copyPublicKey required to return a SecKey, and can a Linux port substitute a non-Security key type?	fail-closed	Security.SecKey is not a declared Matter dependency; SecKey-taking APIs are unavailable.
c:objc(pl)MTRDeviceDelegate(im)device:stateChanged:	Does Apple dispatch MTRDeviceDelegate stateChanged before attribute reports, and on which queue? This host calls the delegate synchronously on the setter's thread because the sealed runner has no run loop.	fail-closed	No Matter radio or GCD hop is claimed; delegate order is a host contract for local expected-value writes only.
c:objc(cs)MTRBaseClusterElectricalMeasurement(cm)readAttributeMeasurementTypeWithAttributeCache:endpoint:queue:completionHandler:	Does Apple's Swift async overlay of the ObjC class-func cache reader throw CHIP IM status, or MTRError.invalidState, when the attribute cache is empty? This host implements the completion-handler selector and invokes it synchronously with invalidState.	c-abi	The sealed runner cannot await the async overlay; there is no Matter radio or CHIP attribute cache.
c:objc(cs)MTRBaseClusterAccessControl(im)reviewFabricRestrictionsWithParams:completion:	Does Apple's Swift async overlay of AccessControl reviewFabricRestrictions (and the other wave-10 cluster commands) throw CHIP IM status or MTRError.invalidState when no controller fabric exists? This host invokes the completion-handler selector synchronously with invalidState.	fail-closed	No Matter radio or CASE session; command completions never invent a fabric response.
