precise	question	risk	reason
s:16FoundationModels19SystemLanguageModelC7AdapterV12isCompatibleySb16BackgroundAssets9AssetPackVFZ	What is the exact BackgroundAssets.AssetPack identity and compatibility predicate Apple uses for FoundationModels adapters?	fail-closed	The isolated Linux host cannot import BackgroundAssets.AssetPack; static graphs only record the parameter type name.
s:16FoundationModels16GenerationSchemaV4fromACs7Decoder_p_tKcfc	What JSON or schema document does Apple encode for GenerationSchema, including dynamic roots and regex guides?	fail-closed	The portable Codable path round-trips local fields only; the Apple wire document is not in the public inputs.
s:16FoundationModels20LanguageModelSessionC21logFeedbackAttachment9sentiment6issues13desiredOutput0A04DataVAA0cdG0V9SentimentOSg_SayAL5IssueVGAA10TranscriptV5EntryOSgtF	What bytes does Apple write into the Data returned by logFeedbackAttachment, and is empty Data a documented no-op?	fail-closed	Linux has no Apple Intelligence feedback service; returning empty Data is fail-closed local behavior, not an observed Apple payload.
s:16FoundationModels4ToolPAAE4nameSSvp	Does Tool.name have a protocol-default implementation, and if so what string does it produce?	fail-closed	The graph records a protocol-extension witness but no source or binding states the default.
s:16FoundationModels4ToolPAAE28includesSchemaInInstructionsSbvp	Is Tool.includesSchemaInInstructions true by default on Apples SDK?	fail-closed	A default witness exists in the graph; the boolean payload is not recorded in public inputs.
s:16FoundationModels20LanguageModelSessionC15GenerationErrorO7refusalyA2E7RefusalV_AE7ContextVtcAEmF	When Apple raises GenerationError.refusal, what transcript entries and explanation stream contents are produced?	fail-closed	Refusal explanation is fail-closed on Linux; Apples refusal payload is a service behavior.
s:16FoundationModels10TranscriptV4fromACs7Decoder_p_tKcfc	What is Apples Codable representation of Transcript.Entry, including tool calls and structured segments?	fail-closed	The portable encoder stores a local prompt-shaped snapshot and does not claim Apple archive compatibility.
module	On a real iPhoneOS 26.1 device, which SystemLanguageModel.Availability.UnavailableReason values occur without Apple Intelligence, and can availability become available without model assets?	fail-closed	Linux always reports deviceNotEligible; the mapping of Darwin entitlement and hardware states is not in the static dossier.
s:16FoundationModels19SystemLanguageModelC7AdapterV7compileyyYaKF	Does Adapter.compile mutate on-disk assets, and which AssetError is raised for a missing pack versus an incompatible pack?	fail-closed	Compile is declared fail-closed; Apples adapter compiler and error selection are not observable here.
s:16FoundationModels20LanguageModelSessionC14ResponseStreamV13AsyncIteratorV4next9isolationAE8SnapshotVy_x_GSgScA_pSgYi_tYaKF	Does Apples ResponseStream iterator implement next() or only next(isolation:), and on which actor are snapshots delivered?	fail-closed	The portable stream throws assetsUnavailable immediately; callback and isolation timing are not in the public inputs.
