precise	question	risk	reason
c:@ARErrorDomain	What is the exact NSError domain string for ARErrorDomain and ARError.errorDomain on iPhoneOS 26.1, including any localizedDescription / failure-reason keys emitted by ARSession.run(_:) on an unsupported configuration?	sensors	Linux has no ARKit runtime. This seed uses com.apple.arkit.error and Code=100 from public failure transcripts, but the exact userInfo payload and domain string should be confirmed on Apple hardware before ABI freeze.
c:@E@ARErrorCode@ARErrorCodeMicrophoneUnauthorized	Confirm the numeric raw values for the post-iOS-11 ARError.Code cases (microphoneUnauthorized, locationUnauthorized, high-resolution capture, geo tracking, requestFailed) against iPhoneOS 26.1 ARError.h.	privacy	Those codes are not in the original iOS 11 enumeration; this seed follows commonly published numeric assignments (104-107, 201-202, 501) that need an Apple-oracle check.
c:@ARBlendShapeLocationEyeBlinkLeft	What are the exact NSString raw values of every ARBlendShapeLocation constant on iPhoneOS 26.1 (for example eyeBlink_L versus eyeBlinkLeft)?	sensors	Blend shape locations are NS_TYPED_ENUM strings. This seed uses the historical public-header underscore forms and must not be treated as observed Apple payload.
c:@T@ARSkeletonJointName	What are the exact NSString raw values for ARSkeleton.JointName.root/head/leftShoulder/rightShoulder/leftHand/rightHand/leftFoot/rightFoot, and does modelTransform(for:) still accept those strings on iOS 26.1?	sensors	Public samples use head_joint and similar; this seed copies those strings without an Apple runtime dump.
c:@E@ARSessionRunOptions	Confirm ARSession.RunOptions bit assignments for resetTracking, removeExistingAnchors, stopTrackedRaycasts, and resetSceneReconstruction on iPhoneOS 26.1.	sensors	OptionSet bits are taken from long-published ARSessionRunOption flags; the graph does not record raw values.
c:@E@ARHitTestResultType	Confirm ARHitTestResult.ResultType bit assignments, including existingPlaneUsingGeometry, on iPhoneOS 26.1.	sensors	Hit-test bits are reconstructed from public ARHitTestResultType flags rather than observed Apple values.
c:objc(cs)ARSession(im)runWithConfiguration:options:	When ARWorldTrackingConfiguration.isSupported is false, does ARSession.run(_:options:) still store configuration, invoke session(_:didFailWithError:) synchronously, and leave currentFrame nil? On which queue if delegateQueue is nil?	camera	This seed fails closed immediately on the calling thread (or delegateQueue.sync) with unsupportedConfiguration and never invents a frame. Apple queue/timing/callback semantics are unknown.
c:objc(cs)ARConfiguration(cpy)isSupported	Is ARConfiguration.isSupported itself always false on devices without ARKit, or only the concrete subclasses? Does querying it have privacy/camera side effects?	privacy	Linux reports false for every configuration class. Apple's base-class vs subclass behavior and any implicit permission prompt need an oracle.
c:objc(cs)ARSCNView	Once SceneKit and UIKit are available in the guest sysroot, does ARSCNView still require a live ARSession/camera, and what does hitTest/raycastQuery return when the session has already failed closed?	rendering	SceneKit types are deferred because the host gate compiles ARKit standalone. Artsy VIR consumes ARSCNView; integration cannot guess renderer behavior.
module	Does ARKit on iPhoneOS 26.1 ever succeed without camera authorization, and what ARError.Code is delivered for a denied camera privacy prompt versus a missing IMU?	privacy	This seed never fabricates camera frames or grants. The distinction between cameraUnauthorized, sensorUnavailable, and unsupportedConfiguration must be observed on device.
