precise	question	risk	reason
c:objc(cs)AVAudioSession(im)prepareRouteSelectionForPlaybackWithCompletionHandler:	Does Apple invoke the route-selection completion synchronously or after return, on which queue, and with which (Bool, RouteSelection) pair when no route hardware exists?	fail-closed	Linux delivers exactly once after return on serial queue com.apple.avkit.AVKit.callback with (false, .none). Apple's queue identity and values are unconfirmed.
c:objc(cs)AVCaptureEventSound(im)initWithURL:error:	Which AVKitError.Code does Apple throw for a missing or unreadable custom capture-sound URL, and does a well-formed CAF succeed without capture hardware?	fail-closed	Pinned graphs declare a throwing URL initializer but not the failure code. Linux throws unknown and never loads audio bytes.
c:objc(cs)AVInputPickerInteraction(im)present	Does present() set isPresented to true before willBeginPresenting, and does dismiss() no-op when already dismissed?	ui	No input-picker UI exists on the isolated host. Linux keeps isPresented false for both present and dismiss. Apple presentation sequencing is unobserved.
c:objc(cs)AVInterstitialTimeRange	Which NSCoder keys does Apple use for AVInterstitialTimeRange, and does a host-written archive decode on Apple AVKit?	fail-closed	Linux round-trips start.value / start.timescale / duration.value / duration.timescale. Apple's key names were not dumped from an Apple-encoded blob.
c:objc(cs)AVPlaybackSpeed(cpy)systemDefaultSpeeds	What localizedName strings does Apple return for systemDefaultSpeeds under locales other than en_US?	ui	en_US on iPhone 16 / iOS 26.1 is Double / Faster / Fast / Normal / Half. Other locales are unobserved.
c:objc(cs)AVPlayerViewController(im)selectSpeed:	After selectSpeed of a list member, does assigning a new AVPlayer keep selectedSpeed or overwrite it from the new player's defaultRate even when that rate is 1.0?	ui	MEASURED: assigning a player with defaultRate 1.5 selects the 1.5 entry. The selectSpeed-then-replace-player order and KVO of defaultRate were not probed.
c:objc(pl)AVPlayerViewControllerDelegate(im)playerViewController:willBeginFullScreenPresentationWithAnimationCoordinator:	In which order does Apple call willBegin / willEnd full-screen delegate methods relative to the animation coordinator's animate(alongside:) / completion, and on which queue?	ui	Linux never enters full screen, so the coordinator order is unobserved.
s:14_AVKit_SwiftUI11VideoPlayerV4bodyQrvp	Does VideoPlayer.body update the representable when player.rate changes without reconstructing VideoPlayer, and is overlay z-order above or below the player view?	ui	Linux recomputes a caption from player.rate at init/read time and stacks the overlay in a ZStack. Apple's UIViewRepresentable update and z-order are unobserved; no decoded frames are claimed.
s:10Foundation21_BridgedStoredNSErrorPAAE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@AVKitError	Does Apple's bridged AVKitError hash only domain and code, or also userInfo contents?	fail-closed	Linux hashes NSError domain and code so Foundation's protocol-default hash witnesses do not trap. Equality remains userInfo-sensitive via NSError. Apple hashing is unconfirmed.
module	Must every Linux PiP, route-picker, and capture-sound path stay fail-closed until an Apple AVKit runtime exists, or is a documented local subset allowed to succeed?	fail-closed	Fabricating PiP windows, AirPlay routes, or capture clicks would claim Apple service success. This starting point never activates those sessions.
