precise	question	risk	reason
module	On Apple, does MPSSupportsMTLDevice return true only for devices that can compile MPS kernels, and does MPSGetPreferredDevice(.Default) ever return a non-default system device?	metal	Linux always returns false/nil; Apple device selection is hardware-specific and not in the pinned overlay.
c:objc(cs)MPSUnaryImageKernel(im)sourceRegionForDestinationSize:	What source halo does MPSUnaryImageKernel.sourceRegion(destinationSize:) add for Gaussian blur versus a 1x1 identity kernel, including clipRect and offset?	numerics	This port maps offset+clipRect without kernel-width halo; Apple filtering reads extra pixels.
c:objc(cs)MPSImageHistogram(im)histogramSizeForSourceFormat:	Is the histogram buffer always 4 * numberOfHistogramEntries * sizeof(uint32), including when histogramForAlpha is false and the source is a single-channel texture?	gpu	Pinned docs describe a four-channel uint32 histogram; channel/format exceptions are not in the graph.
c:@F@MPSFindIntegerDivisionParams	What recip/addend/shift tuple does MPSFindIntegerDivisionParams return for divisors 1, 7, and 65535 on Apple?	numerics	The Linux helper uses a simple magic-number search; Apple's inline implementation may differ.
c:objc(cs)MPSImageGaussianBlur	Does Apple's MPSImageGaussianBlur match this host separable kernel (radius ceil(3*sigma), normalized 1D weights, clamp/zero edges) for unorm8, including in-place encode?	numerics	Linux uses a CPU separable approximation; Apple GPU filtering and in-place rules are not in the overlay.
c:objc(cs)MPSMatrixMultiplication(im)encodeToCommandBuffer:leftMatrix:rightMatrix:resultMatrix:	Does Apple float32 GEMM match naive row-major alpha*A*B+beta*C, including origin offsets and FMA rounding?	numerics	Linux implements schoolbook GEMM on host buffers; GPU tiling and mixed-precision accumulators are unknown.
c:@E@MPSDataType@MPSDataTypeBFloat16	Confirm MPSDataType.bFloat16, complexFloat16, and bool raw values against the iOS 26.1 MPSCoreTypes header.	abi	Bit encodings were reconstructed from public header patterns, not from SDK bytes (intentionally absent).
c:@E@MPSCNNWeightsQuantizationType@MPSCNNWeightsQuantizationTypeLinear	The compact surface titles Linear and LookupTable cases as `none`. What are the Apple Swift overlay case names and raw values?	abi	The graph has three cases titled none; this port uses none/linear/lookupTable to match public C names.
c:@MPSRectNoClip	What origin and size does MPSRectNoClip use on Apple (NSIntegerMax vs NSUIntegerMax/2 vs a Metal region sentinels)?	metal	This port uses Int.max/2 to avoid overflow; Apple's exact sentinel is not in the overlay.
c:objc(cs)MPSImageGaussianBlur(py)sigma	Is in-place encode allowed for MPSImageGaussianBlur when sigma < 1 on Apple, and does copy(with:device:) keep clipRect/offset/edgeMode with sigma?	gpu	Linux copy now preserves sigma; Apple in-place and extra copy fields are not in the overlay.
