precise	question	risk	reason
c:@ASAuthorizationOperationLogin	What NSString payload does Apple store in ASAuthorization.OpenIDOperation.operationLogin?	fail-closed	Public inputs name the static let but not the raw string. Linux uses the C identifier ASAuthorizationOperationLogin as a placeholder.
c:@ASAuthorizationScopeEmail	What NSString payload does Apple store in ASAuthorization.Scope.email?	fail-closed	Same gap for OpenID scopes. Linux uses ASAuthorizationScopeEmail until an Apple runtime observation lands.
c:@ASAuthorizationPublicKeyCredentialAttestationKindDirect	What NSString payloads do Apple's attestation-kind / resident-key / user-verification preference newtypes use?	fail-closed	macios records the Swift names. Linux overlays C-identifier strings and does not claim Apple's NSString bytes.
c:objc(cs)ASAuthorizationController(im)performRequests	On Darwin, which queue delivers ASAuthorizationControllerDelegate callbacks, and which ASAuthorizationError.Code is used when the request cannot be presented or handled?	ui	Linux hops once onto org.openuikit.AuthenticationServices.host-callback with .unknown for an empty request list and .notHandled otherwise, unless a test hook supplies credentials. Apple's daemon/UI queue and missing-provider code are unobserved.
s:So25ASCredentialIdentityStoreC22AuthenticationServicesE20credentialIdentities10forService0fB5TypesSaySo0aB0_pGSo0aI10IdentifierCSg_So0abJ0VtYaF	When the system store is disabled, does Apple's async credentialIdentities overlay return an empty array or throw ASCredentialIdentityStoreError.storeDisabled?	fail-closed	Linux returns [] and never invents saved identities. Darwin's disabled-store payload is unobserved.
c:objc(cs)ASWebAuthenticationSession(im)start	Does Apple invoke the completion handler after start() returns, on which queue, and is a second start() a no-op or a second session?	async	Linux returns from start() before the completion, delivers exactly once on the host-callback queue, and rejects a second start. Apple's ASWebAuthenticationSession queue identity is unconfirmed.
s:22AuthenticationServices22ASImportableCredentialO	What keyed archive / JSON shape does Apple use for ASImportableCredential, and are FieldType raw values the Swift case names?	fail-closed	Linux Codable round-trips overlay property names and Swift case-name raw values. That is not Apple's credential-exchange wire format.
s:22AuthenticationServices52ASAuthorizationPublicKeyCredentialPRFAssertionOutputV5first9CryptoKit09SymmetricE0Vvp	What is the public PRF output layout when CryptoKit.SymmetricKey is available, and does Apple omit first/second when PRF is unsupported?	fail-closed	Isolated Linux cannot import CryptoKit. The output struct exists without SymmetricKey members until that module can be linked.
c:objc(pl)ASAuthorizationControllerPresentationContextProviding(im)presentationAnchorForAuthorizationController:	What happens if performRequests is called without a presentationContextProvider on iOS 26.1?	ui	Darwin's ASPresentationAnchor is UIWindow. Linux aliases ASPresentationAnchor to NSObject so the protocol compiles; performRequests still fail-closes with .unknown/.notHandled and never presents a window.
c:@T@ASPresentationAnchor	Is ASPresentationAnchor a UIWindow typealias on every iOS 26.1 SDK overlay, and does a non-window NSObject-like stand-in ever succeed presentationAnchor(for:)?	ui	The iPhoneOS 26.1 graph prints typealias ASPresentationAnchor = UIWindow. Linux uses NSObject so presentation-context protocols exist without UIKit.
c:objc(cs)ASWebAuthenticationSessionCallback(im)matchesURL:	For Callback.https(host:path:), does Apple require an exact path, a prefix, or a path-and-query match, and is the host comparison case-insensitive?	fail-closed	Linux matches scheme https, host case-insensitively, and path equal-or-prefix (a /cb callback matches /cb and /cb/extra). That prefix rule is the Linux overlay lock, not an Apple capture.
module	Must Sign in with Apple, passkey registration, and ASWebAuthenticationSession remain fail-closed on Linux until a real host/browser/authenticator exists, or is a documented subset allowed to succeed locally?	fail-closed	Fabricating Apple ID tokens or passkey assertions would claim Apple service success. Web auth succeeds only when a presentation provider is set and a documented test hook or portable host supplies a matching callback URL.
s:10Foundation21_BridgedStoredNSErrorPAAE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@ASAuthorizationError	Does Apple's bridged ASAuthorizationError hash only domain and code, or also userInfo?	fail-closed	Linux hashes NSError domain and code so Foundation's protocol-default hash witnesses do not trap. Equality remains userInfo-sensitive.
c:@ASAuthorizationErrorDomain	What is Apple's exact NSError domain string for ASAuthorizationError on iOS 26.1?	fail-closed	macios names the Swift error type. Linux uses the C identifier ASAuthorizationErrorDomain as the overlay string until an Apple NSError log is recorded.
