precise	question	risk	reason
c:objc(cs)THClient(im)retrieveAllCredentials:	What NSError domain and integer code does retrieveAllCredentials deliver when the process lacks com.apple.developer.networking.manage-thread-network-credentials, when the Thread daemon is down, and when the store is empty? Does an empty store complete with an empty set and a nil error?	fail-closed	Linux always completes inline with nil credentials and ThreadNetworkError.unavailable. Apple's domain, codes, empty-success vs error, and callback queue are absent from the public graph, API digester, and TBD.
c:objc(cs)THClient(im)retrieveAllActiveCredentials:	Does retrieveAllActiveCredentials return a subset of allCredentials, only currently-attached networks, or the same set? On which queue does the completion run relative to the caller?	hardware	Linux never talks to a radio or daemon. Active-vs-all filtering, radio attachment, and callback timing are unobserved.
c:objc(cs)THClient(im)retrievePreferredCredentials:	When no preferred Thread network is configured, does preferredCredentials throw, return nil via the completion overlay, or return a credentials object with nil fields?	network	Linux throws ThreadNetworkError.unavailable. Apple's empty-preferred result shape is unobserved.
c:objc(cs)THClient(im)retrieveCredentialsForBorderAgent:completion:	Does credentials(forBorderAgentID:) validate Border Agent ID length (8 vs 16 bytes) before contacting the daemon, and is a missing ID a distinct error from a permission failure?	hardware	Linux ignores the Data argument and fail-closes. Length checks and per-ID lookup errors are unobserved.
c:objc(cs)THClient(im)retrieveCredentialsForExtendedPANID:completion:	Does credentials(forExtendedPANID:) require an 8-byte Extended PAN ID, and does a well-formed ID that is not in the store produce a different error than an entitlement failure?	network	Linux ignores the Data argument and fail-closes. Lookup vs permission errors are unobserved.
c:objc(cs)THClient(im)storeCredentialsForBorderAgent:activeOperationalDataSet:completion:	Does storeCredentials parse the operational dataset TLV locally (network name, key, channel, PAN) before talking to the daemon, reject truncated datasets, and persist anything without the entitlement?	fail-closed	Linux never parses the dataset and never writes a store. TLV layout, validation, and persistence are unobserved.
c:objc(cs)THClient(im)deleteCredentialsForBorderAgent:completion:	Is deleting an unknown Border Agent ID success, a no-op, or an error, and does a successful delete affect preferredCredentials?	fail-closed	Linux never mutates a store. Delete-of-missing and preferred-network side effects are unobserved.
c:objc(cs)THClient(im)checkPreferredNetworkForActiveOperationalDataset:completion:	Does checkPreferredNetwork compare the full operational dataset, only the Extended PAN ID, or the network key, and does it hop off the caller before invoking completion?	network	Linux invokes completion inline with false for every Data including empty. Comparison rules and queue choice are unobserved.
c:objc(cs)THClient(im)isPreferredNetworkAvailableWithCompletion:	Does isPreferredAvailable require a live Thread radio / attached Border Router, or only that preferred credentials exist in the keychain-backed store?	hardware	Linux always reports false. Radio vs store availability is unobserved.
c:objc(cs)THCredentials(py)channel	Does setting channel update lastModificationDate, clamp to IEEE 802.15.4 2.4 GHz channels 11...26, or write through to the Thread daemon? What is the default for a freshly decoded record with no channel key?	hardware	Linux stores any UInt8, does not update dates, and defaults a missing key to 0. Apple's setter validation and default are unobserved.
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)THCredentials	What NSCoder keys and class requirements does Apple use for THCredentials NSSecureCoding, and does init(coder:) return nil for an archive that omits every field?	fail-closed	Linux uses property names as keys (PSKC for pskc) and constructs an empty record when keys are missing. Apple's key names and nil-vs-empty policy are unobserved.
module	Does THCredentials adopt value equality (same networkName / extendedPANID) or NSObject identity for Hashable/Set membership, and is THPreferredNetworkEntry a public type that was omitted from the Swift overlay?	fail-closed	Linux keeps NSObject identity. TBD exports THPreferredNetworkEntry but the sealed public surface does not include it; exposing it would be a guess.
