precise	kind	title	path	declaration
c:@E@MPChangeLanguageOptionSetting	swift.enum	MPChangeLanguageOptionSetting	MPChangeLanguageOptionSetting	enum MPChangeLanguageOptionSetting
c:@E@MPChangeLanguageOptionSetting@MPChangeLanguageOptionSettingNone	swift.enum.case	MPChangeLanguageOptionSetting.none	MPChangeLanguageOptionSetting.none	case none
c:@E@MPChangeLanguageOptionSetting@MPChangeLanguageOptionSettingNowPlayingItemOnly	swift.enum.case	MPChangeLanguageOptionSetting.nowPlayingItemOnly	MPChangeLanguageOptionSetting.nowPlayingItemOnly	case nowPlayingItemOnly
c:@E@MPChangeLanguageOptionSetting@MPChangeLanguageOptionSettingPermanent	swift.enum.case	MPChangeLanguageOptionSetting.permanent	MPChangeLanguageOptionSetting.permanent	case permanent
c:@E@MPErrorCode	swift.enum	MPError.Code	MPError.Code	enum Code
c:@E@MPErrorCode@MPErrorCancelled	swift.enum.case	MPError.Code.cancelled	MPError.Code.cancelled	case cancelled
c:@E@MPErrorCode@MPErrorCloudServiceCapabilityMissing	swift.enum.case	MPError.Code.cloudServiceCapabilityMissing	MPError.Code.cloudServiceCapabilityMissing	case cloudServiceCapabilityMissing
c:@E@MPErrorCode@MPErrorNetworkConnectionFailed	swift.enum.case	MPError.Code.networkConnectionFailed	MPError.Code.networkConnectionFailed	case networkConnectionFailed
c:@E@MPErrorCode@MPErrorNotFound	swift.enum.case	MPError.Code.notFound	MPError.Code.notFound	case notFound
c:@E@MPErrorCode@MPErrorNotSupported	swift.enum.case	MPError.Code.notSupported	MPError.Code.notSupported	case notSupported
c:@E@MPErrorCode@MPErrorPermissionDenied	swift.enum.case	MPError.Code.permissionDenied	MPError.Code.permissionDenied	case permissionDenied
c:@E@MPErrorCode@MPErrorRequestTimedOut	swift.enum.case	MPError.Code.requestTimedOut	MPError.Code.requestTimedOut	case requestTimedOut
c:@E@MPErrorCode@MPErrorUnknown	swift.enum.case	MPError.Code.unknown	MPError.Code.unknown	case unknown
c:@E@MPMediaGrouping	swift.enum	MPMediaGrouping	MPMediaGrouping	enum MPMediaGrouping
c:@E@MPMediaGrouping@MPMediaGroupingAlbum	swift.enum.case	MPMediaGrouping.album	MPMediaGrouping.album	case album
c:@E@MPMediaGrouping@MPMediaGroupingAlbumArtist	swift.enum.case	MPMediaGrouping.albumArtist	MPMediaGrouping.albumArtist	case albumArtist
c:@E@MPMediaGrouping@MPMediaGroupingArtist	swift.enum.case	MPMediaGrouping.artist	MPMediaGrouping.artist	case artist
c:@E@MPMediaGrouping@MPMediaGroupingComposer	swift.enum.case	MPMediaGrouping.composer	MPMediaGrouping.composer	case composer
c:@E@MPMediaGrouping@MPMediaGroupingGenre	swift.enum.case	MPMediaGrouping.genre	MPMediaGrouping.genre	case genre
c:@E@MPMediaGrouping@MPMediaGroupingPlaylist	swift.enum.case	MPMediaGrouping.playlist	MPMediaGrouping.playlist	case playlist
c:@E@MPMediaGrouping@MPMediaGroupingPodcastTitle	swift.enum.case	MPMediaGrouping.podcastTitle	MPMediaGrouping.podcastTitle	case podcastTitle
c:@E@MPMediaGrouping@MPMediaGroupingTitle	swift.enum.case	MPMediaGrouping.title	MPMediaGrouping.title	case title
c:@E@MPMediaLibraryAuthorizationStatus	swift.enum	MPMediaLibraryAuthorizationStatus	MPMediaLibraryAuthorizationStatus	enum MPMediaLibraryAuthorizationStatus
c:@E@MPMediaLibraryAuthorizationStatus@MPMediaLibraryAuthorizationStatusAuthorized	swift.enum.case	MPMediaLibraryAuthorizationStatus.authorized	MPMediaLibraryAuthorizationStatus.authorized	case authorized
c:@E@MPMediaLibraryAuthorizationStatus@MPMediaLibraryAuthorizationStatusDenied	swift.enum.case	MPMediaLibraryAuthorizationStatus.denied	MPMediaLibraryAuthorizationStatus.denied	case denied
c:@E@MPMediaLibraryAuthorizationStatus@MPMediaLibraryAuthorizationStatusNotDetermined	swift.enum.case	MPMediaLibraryAuthorizationStatus.notDetermined	MPMediaLibraryAuthorizationStatus.notDetermined	case notDetermined
c:@E@MPMediaLibraryAuthorizationStatus@MPMediaLibraryAuthorizationStatusRestricted	swift.enum.case	MPMediaLibraryAuthorizationStatus.restricted	MPMediaLibraryAuthorizationStatus.restricted	case restricted
c:@E@MPMediaPlaylistAttribute	swift.struct	MPMediaPlaylistAttribute	MPMediaPlaylistAttribute	struct MPMediaPlaylistAttribute
c:@E@MPMediaPlaylistAttribute@MPMediaPlaylistAttributeGenius	swift.type.property	genius	MPMediaPlaylistAttribute.genius	static var genius: MPMediaPlaylistAttribute { get }
c:@E@MPMediaPlaylistAttribute@MPMediaPlaylistAttributeOnTheGo	swift.type.property	onTheGo	MPMediaPlaylistAttribute.onTheGo	static var onTheGo: MPMediaPlaylistAttribute { get }
