precise	question	risk	reason
c:@SHErrorDomain	What are the exact CFString bytes of SHErrorDomain on iPhoneOS 26.1?	fail-closed	Graphs declare the constant name but not the payload. This port uses the literal SHErrorDomain.
c:@E@SHErrorCode@SHErrorCodeInvalidAudioFormat	Do the SHError.Code raw integers on iPhoneOS 26.1 match the pinned macios values 100/101/200/201/202/300/301/400/500/600?	fail-closed	API digester lists ordered cases without integers. Raw values come from the secondary binding and need an Apple-oracle probe.
c:@T@SHMediaItemProperty	Are SHMediaItemProperty raw strings exactly the ObjC constant names (SHMediaItemTitle, …) or shorter keys?	fail-closed	TBD exports name the symbols; SDK string payloads are absent from this repository.
c:objc(cs)SHCatalog(py)minimumQuerySignatureDuration	What are Apple's actual minimumQuerySignatureDuration and maximumQuerySignatureDuration for the Shazam catalog versus SHCustomCatalog?	audio	This port uses 0/0 for the unavailable Apple catalog and 0/+inf for custom catalogs so local exact-byte matching can proceed.
s:So11SHSignatureC9ShazamKitE6slices4from8duration6strideAbCE6SlicesVSd_S2dSgtKF	On Apple, which (start, duration, stride) tuples throw signatureDurationInvalid versus returning empty Slices versus emitting overlapping windows?	audio	Linux cannot decode Apple's signature codec; non-empty windows throw signatureDurationInvalid.
c:objc(cs)SHSession(im)matchSignature:	Does a custom-catalog miss deliver didNotFindMatch with a nil error, and does an Apple-catalog failure use matchAttemptFailed versus a different code?	network	This port uses nil error for local miss and matchAttemptFailed for the absent Shazam service.
s:So9SHSessionC9ShazamKitE7resultsAbCE7ResultsVvp	Do SHSession.results also emit values already delivered to SHSessionDelegate, and on which queue?	fail-closed	Linux Results is empty; match uses the synchronous delegate path only.
s:9ShazamKit16SHManagedSessionC5stateAC5StateOvp	Is SHManagedSession.state isolated to MainActor, and which transitions does prepare() perform without a microphone?	audio	This port omits @MainActor so synchronous tests can read state, which starts idle.
s:So11SHMediaItemC9ShazamKitE5songsSay05MusicD04SongVGvp	When MusicKit is present, is songs empty until fetch succeeds or does it project from appleMusicID?	network	MusicKit is not a declared dependency of this seed.
module	Does SHCustomCatalog dataRepresentation use Apple's .shazamcatalog codec, and does add(from:) merge or replace on duplicate signature bytes?	fail-closed	This port uses a host-local OpenUIKit.SHCustomCatalog.v1 property list and appends items for duplicate signatures.
