precise	question	risk	reason
s:10Foundation15AttributeScopesO13AccessibilityE0D10AttributesV010TextCustomB0O4nameSSvpZ	What are Apple's exact AttributedStringKey.name and markdownName strings for AccessibilityAttributes (TextCustom, heading, speech pitch/IPA/queue/punctuation/spell-out/priority, textual context)?	accessibility	The Xcode 26.1 graph and API digester expose the properties but not the string literals. This port uses the UIKit NSAttributedString.Key constant names and property names as markdownName; that may differ from Darwin.
c:@F@AXNameFromColor	What localized strings does AXNameFromColor return for standard CGColor values (sRGB primaries, gray, display-P3), and does it consult an Accessibility.bundle table?	accessibility	CoreGraphics is not a declared dependency and no palette dump is in the seed. Linux returns an empty string rather than inventing Apple color names.
c:@F@AXMFiHearingDeviceStreamingEar	On a device with no paired MFi hearing aids, is streamingEar() the empty option set (ObjC None = 0) or a different sentinel, and is pairedDeviceIdentifiers() ordered?	accessibility	No hearing-hardware daemon exists here; this port returns an empty ear mask and an empty UUID array.
s:SC29AXFeatureOverrideSessionErrorLeV	Does beginOverrideSession throw appNotEntitled when the entitlement is missing, or a different code / Cocoa domain, and is the error delivered synchronously?	fail-closed	macios records the NS_ERROR_ENUM integers but not the runtime mapping for an unentitled process. Linux always throws appNotEntitled synchronously.
s:So21AccessibilitySettingsV0A0E04openB03forySo17AXSettingsFeatureV_tYaKFZ	Which NSError domain and code does openSettings(for:) use when Settings.app cannot be opened, and on which queue does the completion run?	ui	The overlay is async throws with no documented domain. Linux throws a host-local fail-closed error; callback timing is unobserved.
c:objc(cs)AXBrailleTable(cm)defaultTableForLocale:	Does defaultTable(for:) return nil or a language-agnostic table when the locale has no Apple liblouis mapping, and are identifier strings stable across iOS 26.1 builds?	accessibility	No braille table catalog is in the seed. Catalog queries return empty/nil; init(identifier:) only stores the caller-supplied id.
c:objc(cs)AXMathExpressionSubSuperscript(py)baseExpression	When init(baseExpression:subscriptExpressions:superscriptExpressions:) is given an empty base array, what does the singular baseExpression getter return on Darwin?	accessibility	The Swift graph types the initializer as [AXMathExpression] and the property as AXMathExpression. This port returns the first child or an empty AXMathExpression node.
c:@E@AXHearingDeviceEar@AXHearingDeviceEarLeft	Confirm AXHearingDeviceEar bit layout: is Left still 1<<1 (skipping bit 0 / None) on iOS 26.1, matching the pinned macios flags?	accessibility	macios documents Left = 1<<1, Right = 1<<2, Both = Left|Right. The Swift overlay omits a public none case; this port uses that layout.
s:13Accessibility01_A13NotificationsPAAE4postyyF::SYNTHESIZED::s:13Accessibility0A12NotificationO12AnnouncementV	Do AccessibilityNotification.post() methods hop to a specific AX queue / VoiceOver process, and is posting a no-op when no assistive technology is running?	ui	Static sources do not record delivery, retention, or exactly-once behavior. Linux post() returns immediately without claiming AT delivery.
module	Should AXNameFromColor and AXBrailleMap.present use CoreGraphics CGColor/CGImage when that module is later declared, or remain Accessibility-local opaque markers on Linux?	fail-closed	CoreGraphics is not a declared dependency of this seed. Local NSObject markers exist only so the selectors type-check.
