precise	question	risk	reason
c:@PHASEErrorDomain	Is the runtime string identity of PHASEErrorDomain exactly "PHASEErrorDomain", or a reverse-DNS / CFString payload such as com.apple.phase?	fail-closed	The Apple header bytes are absent. TBD exports the symbol _PHASEErrorDomain. This port uses the export name as the process-local string. Apple's NSError domain string is unobserved.
c:@PHASEAssetErrorDomain	Is PHASEAssetErrorDomain the export-name string or a distinct CFString payload?	fail-closed	Same provenance gap as PHASEErrorDomain. Linux uses the C identifier spelling.
c:@PHASESoundEventErrorDomain	Is PHASESoundEventErrorDomain the export-name string or a distinct CFString payload?	fail-closed	Same provenance gap as PHASEErrorDomain. Linux uses the C identifier spelling.
c:@PHASESpatialCategoryDirectPathTransmission	Are PHASESpatialCategory raw values the C identifier strings (PHASESpatialCategoryDirectPathTransmission, …) or different NSString payloads?	spatial	TBD exports the C symbols. This port uses those spellings as RawRepresentable strings. Apple's NSString contents are unobserved.
c:objc(cs)PHASEEnvelope(im)evaluateForValue:	What sigmoid / inverse-sigmoid steepness and endpoint clamping does Apple use for PHASECurveType.sigmoid when evaluating a PHASEEnvelope?	audio	Public graphs name the curve cases but not the easing formula. This port uses a logistic with scale 12, clamps t to [0,1], holds the start sample before the first segment, and holds the last sample after the last segment.
c:objc(cs)PHASEEngine(im)startAndReturnError:	Does PHASEEngine.start() on a host without the PHASE renderer/daemon throw initializeFailed immediately, a different PHASEError.Code, or a Cocoa error domain?	fail-closed	Linux has no Apple spatial renderer. This port throws PHASEError.initializeFailed (1346913633) on the caller and leaves renderingState stopped. Apple's queue, partial init, and lastRenderTime on failure are unobserved.
c:objc(cs)PHASEGroup(im)fadeGain:duration:curveType:	Does fadeGain(gain:duration:curveType:) interpolate over duration on the audio clock, or only record a target that the mixer applies at the next render?	realtime	This port snaps gain immediately and ignores duration/curve because there is no render clock. Apple's sample-accurate fade, cancellation, and interaction with mute/solo are unobserved.
c:objc(cs)PHASESpatialPipeline(im)initWithFlags:	Does init(flags:) return nil for empty flags, construct an empty entries dictionary, or trap?	spatial	This port returns nil when flags.isEmpty so callers cannot invent a pipeline with no categories. Apple's empty-flag behavior is unobserved.
c:objc(cs)PHASEObject(cpy)forward	Is PHASEObject.forward (0,0,-1) in engine space, (0,0,1), or a unitsPerMeter-scaled vector?	spatial	This port uses right=(1,0,0), up=(0,1,0), forward=(0,0,-1) as a local right-handed camera convention. Apple's documented axis and handedness are unobserved in the public graph.
c:objc(cs)PHASEEngine(py)defaultReverbPreset	What is Apple's default PHASEEngine.defaultReverbPreset at init, and does start() apply it to the default medium before returning?	audio	This port stores .mediumRoom and never sends it to a renderer. The Apple default and apply-on-start timing are unobserved.
