precise	question	risk	reason
c:@HMCharacteristicTypePowerState	Does iPhoneOS 26.1 store HMCharacteristicType* / HMServiceType* / HMAccessoryCategoryType* as HAP 128-bit UUID strings rather than the C identifier names used by this host port?	os-service	Pinned graphs/digester do not include constant payloads; macios only names the Field. Using C identifiers is honest until an Apple-oracle dump.
c:@HMErrorDomain	Is HMErrorDomain exactly the string HMErrorDomain on iPhoneOS 26.1, matching the public header symbol name?	fail-closed	Linux uses the identifier string; a runtime dump would confirm.
c:@E@HMErrorCode@HMErrorCodeNoCompatibleHomeHub	Is HMError.Code.incompatibleHomeHub still a raw-value alias of noCompatibleHomeHub (92) after the iOS 11 rename?	fail-closed	macios sets IncompatibleHomeHub = NoCompatibleHomeHub = 92; the graph exposes both names.
c:objc(cs)HMHomeManager(py)authorizationStatus	On a device without the HomeKit entitlement, is authorizationStatus determined+restricted with authorized unset, matching this Linux fail-closed mask?	os-service	No TCC/Home daemon exists here; fabricating .authorized would invent Apple Home access.
c:objc(cs)HMHomeManager(im)addHomeWithName:completionHandler:	When addHome is called without HomeKit entitlement / iCloud keychain, is the NSError code homeAccessNotAuthorized (47) versus missingEntitlement (80)?	fail-closed	This port uses homeAccessNotAuthorized for Apple Home mutations.
c:objc(cs)HMEventTrigger(cm)predicateForEvaluatingTriggerWithCharacteristic:relatedBy:toValue:	When NSComparisonPredicate.Operator exists in guest Foundation, should this overload be implemented with identical raw values to Apple's operator enum?	fail-closed	Linux Foundation in the isolated gate lacks NSComparisonPredicate.Operator; the identifier stays unavailable.
c:objc(cs)HMLocationEvent(im)initWithRegion:	When CoreLocation is linked in the guest package, should HMLocationEvent take Apple CLRegion instead of remaining unavailable?	network	Declared dependencies are Foundation-only.
c:objc(cs)HMHome(py)matterControllerXPCConnectBlock	What is the exact NSXPCConnection lifetime for matterControllerXPCConnectBlock on iPhoneOS 26.1?	os-service	No XPC/Matter controller exists on this host; the property stays unavailable rather than returning a dummy connection.
c:objc(cs)HMHome(im)executeActionSet:completionHandler:	On iPhoneOS 26.1 with a connected home hub, does executeActionSet apply HMCharacteristicWriteAction values locally before the HAP round trip, matching this host-local write when homeHubState is connected?	os-service	This port applies in-memory writes only after host_setHomeHubState(.connected); Apple's queue/timing is unobserved.
c:objc(cs)HMHome(im)addRoomWithName:completionHandler:	Is room-name collision case-insensitive (and diacritic-insensitive) on iPhoneOS 26.1, matching this host check that returns objectWithSimilarNameExistsInHome (31)?	fail-closed	Pinned graphs do not record the comparison locale; Linux uses en_US_POSIX case/diacritic folding.
module	Should CameraView and SwiftUI View modifiers from _HomeKit_SwiftUI ship when SwiftUI is not a declared dependency?	fail-closed	Canonical surface includes the overlay; this port marks those rows not-applicable.
