precise	question	risk	reason
c:@BCParameterNameIntent	On iOS 26.1, what is the exact NSString payload of BCParameterNameIntent — the C constant name, a short "intent" token, or the URL query key "biz-intent-id"?	messaging	TBD and macios Field name the ObjC symbol only. Linux uses the C name as rawValue and does not guess a URL-scheme mapping.
c:@BCParameterNameGroup	On iOS 26.1, what is the exact NSString payload of BCParameterNameGroup, and does openTranscript rewrite it to biz-group-id when building a Messages URL?	messaging	Static Field metadata is not a runtime string. Linux stores the caller dictionary as given.
c:@BCParameterNameBody	On iOS 26.1, what is the exact NSString payload of BCParameterNameBody, and is an empty body omitted or sent as an empty query value?	messaging	The public graph does not include the constant's NSString contents.
c:objc(cs)BCChatAction(cm)openTranscript:intentParameters:	On iOS 26.1, which queue opens Messages, does an empty businessIdentifier no-op or throw, and is a https://bcrw.apple.com/urn:biz: URL constructed?	fail-closed	Linux records inputs and never opens Messages. Callback timing and URL construction are unobserved.
c:objc(cs)BCChatButton(im)initWithCoder:	Does Darwin decode BCChatButton.Style from a nib/storyboard, and which NSCoder key holds the style?	ui	Linux always returns nil. Apple archive keys are unobserved.
c:objc(cs)BCChatButton(im)initWithStyle:	Does init(style:) apply UIAppearance chrome, localized "Business Chat" artwork, and a target/action that calls openTranscript?	ui	Linux stores style only. Button tap routing is not in the public Swift census.
c:@E@BCChatButtonStyle	Are BCChatButtonStyle raw values NSInteger 0/1 on every Darwin arch, or does the macios `long` Native enum differ from the Swift Int overlay on 32-bit?	ui	Pinned macios lists Light=0 then Dark. No Apple runtime observation is in this corpus.
module	Should Linux BCChatButton remain usable from synchronous tests, or must it be @MainActor to match the iPhoneOS overlay even though the sealed runner has no run loop?	ui	The graph marks the class @MainActor. Actor isolation cannot be exercised by the no-run-loop host gate.
module	When guest UIKit is on the Linux link line, must BCChatButton's superclass change from NSObject to UIControl, and does NSCoding then require encode(with:)?	ui	Isolated host compilation cannot see full/uikit. A public UIControl lookalike is forbidden.
module	The pinned graph deprecates the surface in iOS 16.1; pinned macios records iOS 16.2 / Mac Catalyst 16.2. Which availability is canonical for a Linux overlay?	fail-closed	Apple-derived sources conflict. The graph remains the exact-ID census; this is not a license to pick 16.2.
