precise	question	risk	reason
c:@Ea@kMIDIInvalidClient@kMIDIUnknownError	On Darwin, when is kMIDIUnknownError returned versus kMIDIUnknownProperty for MIDIObjectGetStringProperty on a valid object that lacks the requested property?	fail-closed	Pinned headers record both codes; Linux fail-closes missing properties with kMIDIUnknownProperty and does not invent a live object graph.
c:@Ea@kMIDIInvalidUniqueID@kMIDIInvalidUniqueID	Is kMIDIInvalidUniqueID ever returned as a live unique ID after MIDIObjectFindByUniqueID, or is it only a sentinel for lookups that have not yet resolved?	fail-closed	Linux always returns kMIDIObjectNotFound and writes 0 into the out-object; Apple's live-ID assignment is unobserved without MIDIServer.
c:@E@MIDINotificationMessageID@kMIDIMsgInternalStart	Is kMIDIMsgInternalStart delivered to MIDINotifyProc before any endpoints exist, and does Linux have an analogue for driver-internal start?	callbacks	The graph records the enumerator value 8; no public body describes delivery order, so Linux never synthesizes this notification.
c:@MIDIChannelsWholePort	Does MIDIChannelsWholePort (0xFF) apply to MIDI 1.0 packet channel fields, UMP group, or only MIDI-CI profile channel maps?	c-abi	The overlay uses 0xFF for MIDICIProfileState whole-port inits; whether packet channel fields also accept that sentinel needs an Apple probe.
c:@kMIDIPropertyName	Is kMIDIPropertyName guaranteed to be present on every MIDIObjectRef, including virtual endpoints created with MIDISourceCreateWithProtocol?	fail-closed	Linux property CFStrings are process-local identities and GetStringProperty fail-closes; Apple's default name for a newly created virtual source is unobserved.
c:@F@MIDISendEventList	When MIDISendEventList is used with MIDIProtocolID 1.0 packets against a protocol-2.0 destination, does CoreMIDI convert, reject with kMIDIWrongEndpointType, or silently drop?	c-abi	Linux has no destinations and returns kMIDINoConnection; conversion policy is not in the public graph.
c:@E@MIDIMessageType@kMIDIMessageTypeUtility	On Apple Silicon Darwin, does MIDIEventPacket with MIDIMessageType.utility words still increment MIDIEventList.numPackets the same as channelVoice2 packets?	c-abi	Linux packet-list add walks packed UMP words uniformly; Apple's utility-message packing is unobserved.
c:@E@MIDITransformType@kMIDITransform_Scale	Is MIDITransformType.scale applied to 14-bit pitch bend as a signed value around 0x2000, or as an unsigned 0...16383 multiply then clamp?	c-abi	The enumerator value 9 is recorded; the thru-connection transform arithmetic is not described by the overlay graph, so Linux stores the params but does not run a thru engine.
c:@kMIDIPropertyOffline	For a USB MIDI device that is physically unplugged, is kMIDIPropertyOffline set on the device object, its entities, its endpoints, or all three?	fail-closed	Linux has no device graph; the property key exists as a CFString identity only.
c:@UA@MIDICIProfileID	Is MIDICIProfileID a stable ABI layout of packed MIDI-CI profile bytes, and can MIDICIProfile(data:) round-trip an Apple-reserved profile ID on iOS 26.1?	c-abi	Linux stores the overlay union fields; Apple's NSData packing and reserved-profile bytes are unobserved.
c:@F@MIDIClientCreate	After MIDIServer disconnects, can the same MIDIClientRef from MIDIClientCreate be reused, or must the client call MIDIClientDispose and MIDIClientCreate again?	callbacks	Linux never starts MIDIServer, so disconnect notifications are never delivered; reuse rules are unobserved.
c:@kMIDIPropertyMaxSysExSpeed	Is kMIDIPropertyMaxSysExSpeed in bytes per second or microseconds per byte, and does MIDISendSysex honor it when no driver is present?	realtime	Linux MIDISendSysex returns kMIDINotPermitted without invoking completionProc; speed units need an Apple probe.
c:objc(cs)MIDICIDiscoveryManager(im)discoverWithHandler:	Does MIDICIDiscoveryManager.discover(handler:) call the handler synchronously on the calling thread, hop to a MIDI-CI queue, or wait until MIDIServer enumerates devices?	callbacks	Linux invokes the handler synchronously with an empty array; Apple's queue and timing are unobserved.
c:@E@MIDIUMPFunctionBlockMIDI1Info@kMIDIUMPFunctionBlockMIDI1InfoUnrestrictedBandwidth	Does MIDIUMPFunctionBlockMIDI1Info.unrestrictedBandwidth imply the function block also accepts MIDI 2.0 packets, or only MIDI 1.0 in UMP wrapper form?	c-abi	Linux stores the enumerator; protocol mixing for a live function block needs an Apple UMP endpoint.
c:objc(cs)MIDIUMPMutableEndpoint(im)registerFunctionBlocks:markAsStatic:error:	If MIDIUMPMutableEndpoint.registerFunctionBlocks is called with an empty protocol set, does Darwin reject the call or register blocks that cannot receive any protocol?	fail-closed	Linux throws CoreMIDISessionError.notPermitted for every registerFunctionBlocks call rather than inventing a virtual UMP endpoint.
c:@F@MIDISendSysex	Must MIDISysexSendRequest.completionProc run on the thread that called MIDISendSysex, the driver I/O run loop, or a caller-supplied queue, and is that still true when MIDIServer is absent?	callbacks	Linux never invokes completionProc; queue choice and exactly-once delivery are unobserved.
c:@F@MIDIGetDriverIORunLoop	Is Linux CFRunLoopGetCurrent an acceptable stand-in for MIDIGetDriverIORunLoop, or must the returned loop match a CoreMIDI driver thread even when no devices exist?	realtime	Linux returns Unmanaged.passUnretained of the current CFRunLoop; Darwin driver-thread identity is unobserved.
