precise	question	risk	reason
c:objc(cs)NSPersistentStoreCoordinator(im)addPersistentStoreWithType:configuration:URL:options:error:	When adding NSSQLiteStoreType on iOS 26.1, what is the exact NSError domain/code/userInfo if the file is missing versus an incompatible Apple SQLite schema?	persistence	Linux treats NSSQLiteStoreType as a platform blocker and must not invent Apple WAL/Z* store success or error payloads.
c:objc(cs)NSManagedObjectModel(im)initWithContentsOfURL:	What is the on-disk compiled .mom/.momd layout and initializer failure mode for a missing or corrupt model URL on iOS 26.1?	persistence	The SDK bytes are not in-tree; returning nil is honest until an Apple-oracle transcript exists.
c:objc(cs)NSMigrationManager(im)migrateStoreFromURL:type:options:withMappingModel:toDestinationURL:destinationType:destinationOptions:error:	Does lightweight inferred mapping succeed for additive optional attributes without a mapping model, and which NSMigration* error is returned when it cannot?	migration	Linux throws NSMigrationError / NSInferredMappingModelError and must not claim Apple lightweight migration.
s:So22NSManagedObjectContextC8CoreDataE7perform8schedule_xAbCE17ScheduledTaskTypeO_xyKctYaKlF	On iOS 26.1, when already running on a private-queue context, does perform(schedule: .enqueued) always enqueue after the current job, and does .immediate run inline without a hop?	concurrency	Linux uses DispatchQueue.main for mainQueueConcurrencyType and a dedicated serial queue for privateQueueConcurrencyType; Apple reentrancy/deadlock edge cases still need an oracle.
c:objc(cs)NSPersistentCloudKitContainer(im)initializeCloudKitSchemaWithOptions:error:	What error is returned by initializeCloudKitSchema when CloudKit entitlements or network identity are absent on a real device?	persistence	CloudKit is an Apple service; Linux always throws and must not fabricate schema-export success.
module	What is NSCoreDataVersionNumber on the iPhoneOS 26.1 SDK used to seed this campaign?	persistence	Historical CoreDataDefines.h constants are public; the current iOS 26.1 numeric value was not in the Linux-visible inputs so Linux exports 0 and must not claim that as Apple parity.
c:objc(cs)NSManagedObject(im)committedValuesForKeys:	On iOS 26.1, does committedValues(forKeys:) include NSNull for attributes that were nil at last fetch/save, and does changing a value back to that original nil clear hasPersistentChangedValues?	persistence	Linux now uses complete committed snapshots with explicit nil, but Apple nil-boxing and transient-property interaction still need an oracle.
c:objc(cs)NSManagedObjectContext(im)save:	On iOS 26.1, when a child context saves, does the parent receive a distinct NSManagedObject instance that shares objectID identity, and is the child's managedObjectContext pointer left unchanged?	persistence	Linux copies objectID/value snapshots into new parent instances; Apple faulting/merge details for already-registered parent objects still need an oracle.
c:objc(pl)NSFetchedResultsControllerDelegate(im)controller:didChangeObject:atIndexPath:forChangeType:newIndexPath:	On iOS 26.1, what is the exact FRC delegate callback order for a sectioned controller when one object is inserted after performFetch — including whether the initial performFetch itself emits insert callbacks?	persistence	Linux notifies willChange, section insert/delete, object delete/insert/move/update, then didChange, and skips object callbacks on the first performFetch; Apple's first-fetch and move-vs-update split still needs an oracle.
c:@NSFetchRequestExpressionType	Is NSFetchRequestExpressionType.rawValue 50 on iPhoneOS 26.1 as well as on the macOS host CoreData used to seed this measurement?	persistence	Measured 50 via `swift -e 'import CoreData; print(NSFetchRequestExpressionType.rawValue)'` on the Mac host; the iOS SDK numeric value was not in the Linux-visible seed inputs.
