precise	question	risk	reason
module	When no App Store daemon is reachable, does Product.products(for:) throw StoreKitError.notAvailableInStorefront, systemError/networkError, a specific SKError, or hang until timeout?	fail-closed	The sealed graph does not record the Linux-host error identity. This lane throws StoreKitError.notAvailableInStorefront with no .storekit configuration loaded (Apple documents that case as “the function isn’t available for this storefront”).
s:8StoreKit7ProductV8purchase7optionsAC14PurchaseResultOShyAC0F6OptionVG_tYaKF	On iOS 26.1, does Product.purchase(options:) hop to the main actor before presenting the payment sheet, and what is the Task cancellation result?	ui	Purchase UI, queue identity, and cancellation payloads are unobserved; with a loaded testing store Linux returns PurchaseResult.success without presenting UI.
c:objc(cs)SKStoreReviewController(cm)requestReviewInScene:	Does SKStoreReviewController.requestReview(in:) present UI immediately, debounce, or no-op when the scene is backgrounded?	ui	Review prompt presentation is UIKit-scene UI; this host only counts the call.
c:@E@SKCloudServiceCapability@SKCloudServiceCapabilityAddToCloudMusicLibrary	What are the Darwin raw bit values for SKCloudServiceCapability named statics on iPhoneOS 26.1?	fail-closed	The Apple header bytes are absent from the seed; Linux uses 1<<0/1<<1/1<<2 as a compiling OptionSet, not as observed ABI.
s:8StoreKit18VerificationResultOA2A11TransactionVRszlE9signature06CryptoB04P256O7SigningO14ECDSASignatureVvp	Does VerificationResult.signature expose CryptoKit P256.Signing.ECDSASignature on iOS 26.1, and is it computed lazily from JWS?	fail-closed	CryptoKit is not a StoreKit seed dependency; the isolated host does not import it. Unsigned testing-store JWS is modelled as unverified unless settings._treatTransactionsAsVerified is set.
s:8StoreKit10StorefrontV2idSSvp	What is the Apple numeric storefront identifier string for the USA storefront on iOS 26.1 (Storefront.id vs Storefront.countryCode)?	fail-closed	Xcode .storekit settings expose _storefront / locale region codes (e.g. USA) but not the App Store numeric id; this host uses the region code for both until observed.
s:8StoreKit18VerificationResultOA2A11TransactionVRszlE17jwsRepresentationSSvp	On iOS 26.1, does a testing-store JWS always include an x5c certificate chain, and is an unsigned or dummy ES256 signature reported as VerificationError.invalidSignature versus invalidCertificateChain?	fail-closed	Linux parses compact JWS (header.payload.signature, base64url) and requires x5c to be present, then fail-closes with invalidSignature because CryptoKit and Apple roots are absent. Missing x5c is invalidCertificateChain.
s:8StoreKit7ProductV16SubscriptionInfoV23isEligibleForIntroOfferSbvp	When a device has never subscribed in a group, is Product.SubscriptionInfo.isEligibleForIntroOffer true even if the product has no introductoryOffer in App Store Connect, and does a finished expired subscription restore eligibility?	fail-closed	This host treats a loaded catalog with no prior group transaction as eligible and consumes eligibility on auto-renewable purchase. Apple's exact restore/expire/family-share rules are unobserved.
s:8StoreKit7ProductV16SubscriptionInfoV07RenewalE0V16expirationReasonAG010ExpirationH0VSgvp	When Xcode StoreKit Testing expires a subscription, which ExpirationReason is attached to RenewalInfo (autoRenewDisabled vs unknown vs productUnavailable)?	fail-closed	Local expire() stamps autoRenewDisabled as a documented testing-store mapping, not as an observed Apple payload.
s:8StoreKit7MessageV6ReasonV	What are the Darwin Int raw values for Message.Reason (generic, billingIssue, priceIncreaseConsent, winBackOffer) on iOS 26.1?	fail-closed	The sealed graph does not record the ABI integers. This host uses generic=0, billingIssue=1, priceIncreaseConsent=2, winBackOffer=3 as a compiling RawRepresentable mapping, not as observed ABI.
s:8StoreKit16ExternalPurchaseO10canPresentSbvpZ	On iOS 26.1, does ExternalPurchase.canPresent become true after the app is entitled in App Store Connect, or only after the user is in an eligible storefront, and does presentNoticeSheet require a scene?	ui	Linux has no App Store entitlement daemon; canPresentNow is false and presentNoticeSheetNow throws StoreKitError.notAvailableInStorefront. Scene presentation is unobserved.
s:8StoreKit20PaymentMethodBindingV4bindyyYaKF	Does PaymentMethodBinding.bind() require a previously minted pinning ID from Apple, and which PaymentMethodBindingError is returned when the ID is unknown versus the user is ineligible?	fail-closed	Linux constructs a binding from a portable ID and bindNow() throws PaymentMethodBindingError.notEligible. Apple pinning-ID minting and error identity are unobserved.
