precise	question	risk	reason
s:8PhotosUI21PHPickerConfigurationV14selectionLimitSivp	What is Apple's runtime default for PHPickerConfiguration.selectionLimit on a freshly initialized configuration on iOS 26.1?	fail-closed	Linux uses 1 to match Apple's documented default; the iOS 26.1 simulator default was not re-measured this round.
s:8PhotosUI21PHPickerConfigurationV20disabledCapabilitiesSo0cF0Vvp	Does Apple's disabledCapabilities default to the empty set, and does setting it before presentation hide search or staging UI?	ui	Static declarations do not prove picker chrome defaults or capability gating.
s:8PhotosUI21PHPickerConfigurationV26edgesWithoutContentMarginsSo21NSDirectionalRectEdgeVvp	What is Apple's default edgesWithoutContentMargins, and does it affect picker layout immediately or only after presentation?	ui	Linux stores the OptionSet and does not present a picker.
s:8PhotosUI14PHPickerFilterV3any2ofACSayACG_tFZ	Is PHPickerFilter.any(of:)/all(of:) equality order-sensitive? Linux treats [.images, .videos] as unequal to [.videos, .images].	fail-closed	Linux equality is structural over the stored array; Apple's composition identity is unobserved.
c:objc(cs)PHPickerViewController(im)deselectAssetsWithIdentifiers:	Does deselectAssets(withIdentifiers:) no-op, throw, or ignore unknown identifiers when the picker is not visible?	ui	Linux ignores the call; Apple's in-flight selection mutation is unobserved.
s:8PhotosUI30PHPickerViewControllerDelegateP6picker_16didFinishPickingySo0cdE0C_SayAA0C6ResultVGtF	When picker(_:didFinishPicking:) is delivered off the main thread on iOS 26.1, does Apple hop to the main actor before the call, and is an empty array the cancel payload?	ui	Linux host _present() delivers on main (sync if already on main) with [] unless _enqueueResults ran; Apple's queue hop is unobserved.
c:objc(cs)PHLivePhotoView(im)startPlaybackWithStyle:	On iOS 26.1, does startPlayback(with:) invoke delegate willBegin/didEnd callbacks when livePhoto is nil?	ui	Linux is a no-op and does not invoke the delegate; callback timing and nil-livePhoto behavior need an Apple oracle.
c:objc(cs)PHPhotoLibrary(im)presentLimitedLibraryPickerFromViewController:completionHandler:	Does the completion handler run on the main queue, and is it invoked with an empty list when the user cancels without changing limited-library membership?	fail-closed	Linux listed gap: no-op, empty list immediately, no UI. Apple's queue and cancel payload are unobserved.
s:015_PhotosUI_SwiftB00A10PickerItemV16loadTransferable4typexSgxm_tYaK04CoreG00G0RzlF	Does async loadTransferable hop off the calling executor, and does a missing representation return nil or throw?	fail-closed	Linux returns the installed value or nil; Apple's PhotosUI loading queue is unobserved.
s:7SwiftUI4ViewP07_Photosb1_aB0E06postToD16SharedAlbumSheet11isPresented5items12photoLibrary07defaultH10Identifier10completionQrAA7BindingVySbG_SayAD0D10PickerItemVGSo07PHPhotoN0CSSSgys6ResultOyyts5Error_pGcSgtF	Does postToPhotosSharedAlbumSheet require an entitlement, and what error identity is used when iCloud Photos is unavailable?	ui	Linux always fails closed with PhotosUIUnavailable.linuxHost; Apple's error domain and code are unknown.
module	When PhotosPickerItem.supportedContentTypes is empty, which UTTypes does Apple actually attempt to load for Data or Image transferables?	fail-closed	The graph exposes the property but not the loading policy for an identifier-only item.
s:8PhotosUI14PHPickerResultV12itemProviderSo06NSItemF0Cvp	Does Apple's PHPickerResult.itemProvider register public.image in addition to the concrete type (public.jpeg / public.heic), and does loadFileRepresentation delete the temporary file when the completion handler returns?	fail-closed	Linux registers the identifier passed to _hostResult, uses UTType.conforms for hasItemConformingToTypeIdentifier, and leaves the temp file in place after loadFileRepresentation returns.
