precise	question	risk	reason
c:@RPRecordingErrorDomain	What is the exact Darwin NSString payload of RPRecordingErrorDomain?	privacy	Linux uses the identifier spelling from pinned-independent-bindings ErrorDomain metadata. The bytes were not measured on device.
c:@RPApplicationInfoBundleIdentifierKey	What is the exact Darwin NSString payload of RPApplicationInfoBundleIdentifierKey?	privacy	Linux uses the C identifier spelling as a source-compatible fallback. Darwin payload is unobserved.
c:@RPVideoSampleOrientationKey	What is the exact Darwin NSString payload of RPVideoSampleOrientationKey?	privacy	Linux uses the C identifier spelling as a source-compatible fallback. Darwin payload is unobserved.
c:@SCStreamErrorDomain	Is ReplayKit's SCStreamErrorDomain the same NSString as ScreenCaptureKit.SCStreamErrorDomain, and what are the bytes?	privacy	Linux uses the identifier spelling. Cross-module identity and Darwin payload are unobserved.
c:@E@RPRecordingErrorCode@RPRecordingErrorUnknown	Do Darwin RPRecordingErrorCode raw values match the pinned-independent-bindings table starting at -5800, including codeSuccessful = 0?	privacy	Isolated tests round-trip the binding integers. They are not an on-device Apple dump.
c:objc(cs)RPBroadcastConfiguration(py)clipDuration	What default clipDuration does Darwin report before assignment?	host-service	Linux stores the property starting at 0. The Darwin default is unobserved.
c:objc(cs)RPScreenRecorder(py)cameraPosition	What cameraPosition does Darwin report before assignment when camera capture is unavailable?	capture	Linux starts at front to match common public documentation. Darwin's default is unobserved.
c:objc(cs)RPScreenRecorder(im)startRecordingWithHandler:	When isAvailable is false, which RPRecordingErrorCode does Darwin deliver, on which queue, and does it ever invoke the handler inline?	capture	Linux hops once onto ReplayKit.completion with disabled and remains not recording. The Darwin mapping is unobserved.
c:objc(cs)RPBroadcastController(im)startBroadcastWithHandler:	When no broadcast entitlement or Apple service is present, which error does Darwin deliver for startBroadcast?	host-service	Linux uses entitlements as the fail-closed NSError.code. The Darwin mapping is unobserved.
c:objc(cs)RPBroadcastController(py)broadcastURL	What broadcastURL does Darwin expose before a session starts?	host-service	Linux uses a documented local sentinel replaykit://unstarted. Darwin's pre-start URL is unobserved.
module	When UIKit and CoreMedia are present, do RPPreviewViewController and processSampleBuffer use those modules' nominal types rather than ReplayKit lookalikes?	capture	Isolated Linux omits those APIs. ReplayKitDependencyIdentity.swift is the future EC2 probe; it has not been run here.
