precise	question	risk	reason
s:7Network12NWConnectionC5start5queueySo012OS_dispatch_D0C_tF	Does Apple invoke stateUpdateHandler for preparing and ready/failed on the supplied DispatchQueue after start() returns, or can the first callback race with the return?	fail-closed	Linux tags the queue and runs start-time handlers via sync (inline if already on that queue). Apple queue identity and after-return timing are unobserved.
s:7Network13NWPathMonitorC5start5queueySo012OS_dispatch_E0C_tF	Does Apple deliver the first path snapshot synchronously from start, and is a Mac en0 typed wifi or wiredEthernet?	fail-closed	Linux reads getifaddrs and classifies by IFF_LOOPBACK plus name prefix (wlan*/eth*/en*). Apple's SCNetwork type for en0 is unobserved.
s:7Network9NWBrowserC5start5queueySo012OS_dispatch_D0C_tF	Does a Bonjour browser on Apple start in waiting or ready before any results, and on which queue do result callbacks run?	fail-closed	Linux fails immediately with EOPNOTSUPP and emits an empty change set. Apple mDNS browse sequencing is unobserved.
c:@F@nw_connection_start	When nw_connection_start is called without a viable path, which nw_connection_state_t is reported first (waiting vs failed) and with which nw_error_domain_t?	fail-closed	C stubs return dummy objects and do not drive Apple's state machine. Domain/code mapping needs an Apple-oracle probe.
c:@kNWErrorDomainPOSIX	What is the CFString value of kNWErrorDomainPOSIX (the field name versus NSPOSIXErrorDomain)?	fail-closed	Pinned graphs declare the constant; Linux stores the field name as a stand-in NSString. The Apple string payload is unobserved.
s:7Network7NWErrorO9wifiAwareyACs5Int32VcACmF	What type and raw values does Apple use for NWError.wifiAware associated values, and when is that case produced?	fail-closed	The graph types the payload as Int32. Linux never produces this case from start/send/receive. Wi-Fi Aware hardware is unavailable here.
s:7Network11NWInterfaceV13InterfaceTypeO	How does Apple classify getifaddrs names (en0, awdl0, utun, bridge) into InterfaceType on iOS 26.1?	fail-closed	Linux uses IFF_LOOPBACK plus a name-prefix heuristic. A wrong wifi/ethernet label does not invent connectivity; Apple's mapping is unobserved.
s:7Network7NWErrorO3tlsyACs5Int32VcACmF	Which OSStatus does Apple report when TLS is requested but the stack cannot start (no identity / no handshake)?	fail-closed	Linux uses SecureTransport errSSLProtocol (-9800) as a listed fail-closed token. Apple's exact code for a missing TLS stack is unobserved.
s:7Network14NWProtocolQUICC7OptionsC	Which NWError domain and code does Apple report when a QUIC connection cannot start (no QUIC stack / missing entitlement)?	fail-closed	Linux fails closed with POSIX EOPNOTSUPP. Apple's QUIC stack is unobserved on this host.
s:7Network10NWListenerC5start5queueySo012OS_dispatch_D0C_tF	Does Apple bind the TCP port and then fail Bonjour advertisement, or fail the whole listener, when mDNS is unavailable?	fail-closed	Linux fails the listener with EOPNOTSUPP when Service is set and never advertises. Port-only listeners still bind.
