precise	question	risk	reason
c:objc(cs)AVCaptureDevice(cm)devices	Does Apple's devices() still return a live device list on iOS 26.1, or is it empty/deprecated in favor of DiscoverySession, and in which order are built-in cameras listed?	fail-closed	Linux has no capture hardware and returns []. Public inputs do not record the live enumeration.
c:objc(cs)AVAssetExportSession(im)exportAsynchronouslyWithCompletionHandler:	On failure, does Apple invoke the completion handler after return, on which queue, and is status already .failed before the handler runs?	fail-closed	The portable Linux entry is export(to:as:) and fail-closes synchronously from the caller's perspective via an async throw. Apple's export() callback timing is unobserved.
c:objc(cs)AVAssetImageGenerator(im)generateCGImageAsynchronouslyForTime:completionHandler:	Does Apple call the image-generator completion on a private queue after return, and what actualTime is reported when no frame exists?	fail-closed	Linux calls the handler synchronously with .invalid and frameGenerationUnavailable. Apple queue identity and actualTime on failure are unobserved.
c:objc(cs)AVPlayer(im)seekToTime:completionHandler:	On a successful state-only seek, does Apple invoke the completion handler before seek(to:completionHandler:) returns, and on which queue?	fail-closed	Linux calls the handler synchronously on the caller. Apple queue identity and after-return delivery are unobserved.
c:objc(cs)AVPlayer(py)allowsExternalPlayback	Is Apple's default allowsExternalPlayback true even when no AirPlay route exists?	fail-closed	Linux defaults to false because there is no external playback hardware. Public inputs do not record the default.
c:@AVFileType3GPP	What are Apple's UTI raw values for AVFileType members other than mp4/mov/m4a?	fail-closed	Only mp4, mov, and m4a were already recorded in this lane. Other generated AVFileType statics use empty strings until an Apple observation lands.
s:So18NSNotificationNamea12AVFoundationE28AVPlayerItemDidPlayToEndTimeABvpZ	Are Apple's Notification.Name overlays identical to the AVPlayerItemDidPlayToEndTimeNotification C-string used by AVPlayerItem.didPlayToEndTimeNotification?	fail-closed	Linux now uses AVPlayerItemDidPlayToEndTimeNotification for both. Identity with Darwin C-string ABI is unobserved on this host.
c:objc(pl)AVVideoCompositionInstruction(py)requiredSourceTrackIDs	Is Apple's protocol requirement [NSValue]? while the class property is non-optional [NSValue], and what does a passthrough instruction return?	fail-closed	The graph records both shapes. Linux uses the protocol optionality. Default contents are unobserved.
module	May any Linux capture/export/FairPlay path return success without a host media service, or must those remain fail-closed until an Apple oracle or installed SPI handler exists?	fail-closed	Fabricating encoded bytes, camera frames, or content keys would claim Apple media-service success.
module	On Darwin, does AVAudioSession.setCategory that changes Category post AVAudioSessionRouteChangeNotification on the calling thread with RouteChangeReason.categoryChange (3) and the previous route in AVAudioSessionRouteChangePreviousRouteKey?	fail-closed	Linux posts that payload when category changes because Apple documents categoryChange as a route-change reason. AVAudioSession is AVFAudio on iOS 26.1, so it is extra portable surface here. Queue, coalescing, and posting when only options or mode change are unobserved.
c:objc(cs)AVAsset(py)duration	For a local ISO BMFF file, is AVURLAsset.duration exactly mvhd duration/timescale before tracks finish loading, and does a missing file stay CMTime.invalid rather than throwing on load(.duration)?	fail-closed	Linux parses ftyp/moov locally. Missing files stay .invalid. Apple decoder timing, fragment movies, and error objects are unobserved.
c:objc(cs)AVAssetWriter(im)startWriting	When no encoder exists, does startWriting() return false with status .failed and AVError.encoderNotFound before any file is created?	fail-closed	Linux has no encoder and records encoderNotFound. Apple file creation, status ordering, and userInfo keys on that failure are unobserved.
c:objc(cs)AVCaptureDevice(im)lockForConfiguration:	When authorizationStatus is denied, does lockForConfiguration throw AVError.applicationIsNotAuthorizedToUseDevice, a different AVError, or a Cocoa error?	fail-closed	Linux throws applicationIsNotAuthorizedToUseDevice because authorizationStatus is denied. Apple's exact error object without a device grant is unobserved.
c:objc(cs)AVAssetExportSession(cm)allExportPresets	Does allExportPresets() still list Apple encoder preset names when no encoder hardware is present, or is the catalog empty until an export session can be created?	fail-closed	Linux returns [] because no encoder exists. The string constants remain as names only.
c:objc(cs)AVCaptureDevice(py)videoZoomFactor	Is Apple's default videoZoomFactor 1.0 on a device that has not been locked for configuration, including when no camera is available?	fail-closed	Linux uses the documented 1.0 default with min/max available zoom also 1.0 because there is no optical pipeline.
c:objc(cs)AVMovie(im)writeMovieHeaderToURL:fileType:options:error:	When no movie-header writer exists, does writeHeader throw AVError.encoderNotFound, fileFailedToParse, or another code, and is the destination file created?	fail-closed	Linux throws encoderNotFound and does not write bytes. Apple's error object and whether a stub file appears are unobserved.
c:objc(cs)AVCapturePhotoOutput(im)capturePhotoWithSettings:delegate:	With authorization denied and no running session, does capturePhoto invoke didFinishCaptureFor synchronously with AVError.applicationIsNotAuthorizedToUseDevice, sessionNotRunning, or a Cocoa error, and on which queue?	fail-closed	Linux invokes the delegate synchronously with applicationIsNotAuthorizedToUseDevice. Apple callback ordering, resolved-settings uniqueID, and queue identity are unobserved.
c:objc(cs)AVMutableMovie(im)insertTimeRange:ofAsset:atTime:copySampleData:error:	When copySampleData is true but no decoder exists, does insertTimeRange throw AVError.decoderNotFound, operationNotSupportedForAsset, or succeed as an empty edit?	fail-closed	Linux throws decoderNotFound for copySampleData true and performs duration-only edits when it is false. Apple sample-copy semantics are unobserved.
