precise	question	risk	reason
c:objc(cs)AVAudioEngine(im)startAndReturnError:	When no output route exists, which NSError domain/code does AVAudioEngine.start() return on iOS 26.1, and does isRunning stay false if start throws?	realtime	Linux throws a host-unavailable error without manual rendering and leaves isRunning false. Manual rendering start succeeds. Apple's route-failure codes and render-thread start timing are unobserved.
c:objc(cs)AVAudioSession(im)setActive:withOptions:error:	What error domain/code is returned when setActive(true) runs without a session daemon or record entitlement, and is category storage rolled back?	audio	Category is stored locally. Activation, interruptions, and entitlement failures need an Apple session daemon. AVAudioSession lives in this module; AVFoundation must not duplicate it.
c:objc(cs)AVAudioPCMBuffer(im)initWithPCMFormat:bufferListNoCopy:deallocator:	Does the no-copy initializer retain the caller's AudioBufferList pointer, invoke the deallocator exactly once from deinit, and expose interleaved vs noninterleaved channels with Apple stride?	c-abi-deps	The isolated host gate has no CoreAudioTypes. The EC2 ABI probe must compare flexible AudioBufferList layouts and once-only deallocation against the SDK.
c:objc(cs)AVAudioFormat(py)streamDescription	Does streamDescription point at a CoreAudioTypes AudioStreamBasicDescription with Apple size, alignment, and field offsets, including kAudioFormatFlagIsNonInterleaved, and does init(streamDescription:) round-trip those flags?	c-abi-deps	ASBD APIs stay behind canImport(CoreAudioTypes). Isolated Linux cannot compile the round trip until that module is on the host gate search path.
c:objc(cs)AVAudioTime(py)audioTimeStamp	Is AudioTimeStamp.mFlags an AudioTimeStampFlags OptionSet whose hostTimeValid and sampleTimeValid members round-trip independently, without treating any nonzero flag as sample-valid?	c-abi-deps	Linux constructs and queries canonical OptionSet members when CoreAudioTypes is imported. Apple SMPTE/rate-scalar bits and C layout still need the EC2 CoreAudioTypes probe.
c:objc(cs)AVAudioConverter(im)convertToBuffer:fromBuffer:error:	What interpolation kernel and latency does Apple's sample-rate converter use at AVAudioQuality.max versus .min, and does channelMap index -1 insert silence or drop the output channel?	audio	Linux uses documented linear interpolation and treats negative/out-of-range map entries as silence. Apple's SRC quality and mapping are unobserved.
c:objc(cs)AVAudioFile(im)initForWriting:settings:error:	For CAF linear PCM, is the desc chunk 32 or 36 bytes, are samples little-endian by default, and does processingFormat stay deinterleaved float32 regardless of fileFormat interleaving?	audio	Linux writes a 36-byte CAFAudioDescription and little-endian PCM. Apple CAF flags, chunk order, and processingFormat choices need an iOS 26.1 file probe.
c:objc(cs)AVAudioEngine(im)renderOffline:toBuffer:error:	In offline manual rendering, when does a player-node completion handler of type dataPlayedBack fire relative to renderOffline returning, and is pan equal-power or constant-gain?	realtime	Linux applies constant-gain pan (center = 1.0) and delivers completions asynchronously after the buffer is consumed. Apple pan law and render-thread callbacks are unobserved.
c:objc(cs)AVAudioPlayer(im)play	When init(contentsOf:) succeeds for an undecodable file, does play() return false or report decode failure via the delegate, and is duration still 0?	audio	This port refuses hardware playback. Apple's decode-failure timing needs a device probe.
c:objc(cs)AVSpeechSynthesizer(im)speakUtterance:	Does speak(_:) set isSpeaking true before the first buffer, and which delegate methods fire when no voice matches the utterance language?	audio	Linux leaves isSpeaking false. Apple voice selection, ducking, and personal-voice mixing are unobserved.
c:objc(cs)AVAudioSession(im)requestRecordPermission:	On which queue is the permission handler invoked, and can the handler reenter requestRecordPermission before returning?	audio	Linux delivers denied exactly once on AVFAudio.callback. Apple's permission UI and queue are unobserved.
c:objc(cs)AVAudioUnitSampler(im)loadSoundBankInstrumentAtURL:program:bankMSB:bankLSB:error:	Does a missing SoundFont throw a specific AudioToolbox OSStatus, and does startNote still succeed after load fails?	audio	Linux throws a host-unavailable error and keeps MIDI note methods as no-ops. Sampler instruments remain fail-closed.
module	Which AudioToolbox/CoreAudioTypes/CoreMIDI/CoreMedia C types must be imported versus remaining unavailable so AVAudioFormat.streamDescription and AVAudioBuffer.audioBufferList match Apple layout on arm64?	c-abi-deps	The isolated host gate compiles without those modules. Integrated Linux success requires the future EC2 cold build and AVFAudioDependencyABI probe.
