precise	question	risk	reason
c:objc(cs)CLLocationManager(im)requestWhenInUseAuthorization	When no Info.plist usage string or location daemon exists, does Apple leave authorizationStatus at notDetermined, transition to denied, or throw before the delegate callback?	fail-closed	Public inputs do not record the no-prompt Linux path. This port fail-closes notDetermined to denied synchronously and delivers both authorization callbacks.
c:objc(cs)CLLocationManager(im)requestLocation	If requestLocation runs while unauthorized, does Apple call didFailWithError with denied before or after returning, and on which queue?	fail-closed	Graphs declare the method but not callback timing or queue. Linux reports denied or locationUnknown synchronously on the calling thread.
c:objc(cs)CLGeocoder(im)reverseGeocodeLocation:completionHandler:	Does Apple's reverse geocoder invoke the completion handler after return, and is isGeocoding true between return and the callback?	fail-closed	No Apple geocoding service exists on Linux. Completions run synchronously; isGeocoding stays false. Host injection is the only success path.
s:12CoreLocation16CLLocationUpdateV11liveUpdatesyAC0F0VAC17LiveConfigurationOFZ	Does CLLocationUpdate.liveUpdates yield a diagnostic update with authorizationDenied when the session has no grant, or does the async sequence stay empty until authorized?	fail-closed	The overlay lists diagnostic flags but not the unauthenticated stream shape. Linux yields one location-nil update with authorizationDenied and locationUnavailable, then finishes.
c:objc(cs)CLLocationManager(im)startRangingBeaconsSatisfyingConstraint:	When isRangingAvailable is false, does startRangingBeacons still record the constraint and fail via didFailRangingFor, or is it a silent no-op?	fail-closed	Linux records the constraint and fail-closes with rangingUnavailable. Apple's unavailable-hardware interleaving is unobserved.
c:objc(cs)CLBeaconRegion(im)peripheralDataWithMeasuredPower:	What CoreBluetooth advertisement keys and binary layout does Apple encode for the iBeacon payload?	fail-closed	Public graphs give only the NSMutableDictionary return type. Linux stores uuid/major/minor/measuredPower under overlay string keys, not claimed Apple advertisement keys.
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)CLPlacemark	What keyed-archive keys does Apple use for CLPlacemark, and does a truncated archive return nil or an empty object?	fail-closed	Apple's NSCoder layout is absent from public inputs. Linux init(coder:) returns nil rather than inventing a round-trip.
c:objc(cs)CLGeocoder(im)geocodePostalAddress:completionHandler:	What is the canonical Swift overlay for geocodePostalAddress when Contacts.CNPostalAddress is imported on the integration build?	fail-closed	The isolated host cannot import Contacts. The method stays deferred rather than substituting a local postal-address type.
s:SC7CLErrorLeV	Does Linux Foundation ever wrap an arbitrary-domain NSError in as? CLError, matching CocoaError special-casing?	fail-closed	Throw/catch of CLError and _nsError round-trips work. NSError as? CLError is not claimed on this toolchain.
module	May Linux ever invent a coordinate, heading, visit, or geocode from GPS/Wi-Fi/cell, or must every hardware path stay host-injected or fail-closed?	fail-closed	Fabricating sensor success would claim Apple location-daemon behavior. This starting point only delivers host-injected values or explicit errors.
