precise	question	risk	reason
c:@CSMailboxInbox	What are Apple's exact string payloads for CSMailboxInbox/Drafts/Sent/Junk/Trash/Archive?	fail-closed	Pinned graphs and TBD exports name the symbols; they do not record the NSString values. Linux uses the Field names as stand-ins until an Apple-oracle dump lands.
c:@macro@CoreSpotlightAPIVersion	What Int32 does CoreSpotlightAPIVersion expand to on iOS 26.1?	fail-closed	The graph types it as Int32 but no header bytes or binding annotation record the value. The identifier is deferred rather than invented.
c:objc(cs)NSUserActivity(py)contentAttributeSet	Does Apple attach CSSearchableItemAttributeSet to NSUserActivity as a copy or as a retained object, and what happens when the activity has no attributes?	ui	Linux Foundation has no NSUserActivity type, so the property cannot be declared on the isolated host.
c:objc(cs)CSSearchQuery(im)start	What is Apple's CSSearchQuery callback queue, result batching, and InRange/$time evaluation on iOS 26.1?	fail-closed	Linux implements the documented subset (attribute == "value", comparisons, && / ||, * with c/d) over the process-local index and invokes handlers synchronously after start(). Apple's queue identity, mailbox ranking, and $time calendar semantics remain unobserved.
c:objc(cs)CSSearchableIndex(im)endIndexBatchWithExpectedClientState:newClientState:completionHandler:	Does Apple reject a mismatched expectedClientState with CSIndexErrorCodeMismatchedClientState, and is the 250-byte client-state size a hard limit?	fail-closed	Linux compares Data equality and reports mismatchedClientState. The size cap and crash-recovery semantics are not in public inputs.
c:objc(cs)CSSearchableIndex(im)fetchDataForBundleIdentifier:itemIdentifier:contentType:completionHandler:	When no index extension is installed, does Apple fail fetchData with indexUnavailableError, invalidItemError, or another code?	fail-closed	Linux always throws indexUnavailableError because there is no Spotlight content provider. The Apple error payload is unconfirmed.
c:objc(cs)CSUserQuery(im)start	Does a CSUserQuery with disableSemanticSearch and maxSuggestionCount 0 still emit ranked CSSuggestion values from the system index?	fail-closed	Linux never fabricates suggestions; foundSuggestionCount stays 0. Apple's suggestion ranking and semantic search need a device oracle.
c:objc(cs)CSSearchableItemAttributeSet(py)isPriority	How does Apple populate the get-only isPriority / textContentSummary fields—via UpdateListenerOptions.priority, a daemon write-back, or another path?	fail-closed	The graph exposes getters only. Linux leaves them nil after init and copies them through move(from:) if present in the property bag.
c:objc(cs)CSCustomAttributeKey(im)initWithKeyName:	Does Apple's convenience init(keyName:) return nil for an empty key, a kMD/_kMD prefix, or a unique+searchable pair, and are reverse-DNS dots accepted?	fail-closed	Linux fail-closes empty names, kMD/_kMD prefixes, and names outside [A-Za-z0-9_.]. Reverse-DNS dots are accepted so app indexes can name keys. Unique+searchable pairing is accepted until an Apple-oracle dump lands. macios documents the designated initializer but not these edge cases.
c:objc(cs)CSSearchableIndex(im)beginIndexBatch	Is beginBatch required before endIndexBatch, and does Apple error if endBatch is called without a matching begin?	fail-closed	Linux treats beginBatch as a no-op around in-memory client state. Apple's batch journaling is unobserved.
module	Until a Spotlight daemon exists on Linux, must every path that would talk to mdworker/corespotlightd stay fail-closed even when a local in-process index can answer the same call shape?	fail-closed	The portable named index is process-local and volatile. fetchData, import extensions, user-query suggestions, and protection-class isolation must not report Apple service success.
