precise	question	risk	reason
c:@E@GSSyncState	Are GSSyncState raw values on iOS 26.1 still Ready=0 through Closed=6 in that order, matching pinned macios [Native] case order?	fail-closed	The symbol graph and API digester list cases without integer literals. Linux uses the macios Native order until an Apple-oracle probe records live values.
s:8GameSave0aB11ErrorDomainSSvp	Is GameSaveErrorDomain exactly the NSString "GameSaveErrorDomain", and which integer codes does the iCloud / Drive daemon emit for unsigned-in, quota, and conflict failures?	cloud	The census names the domain constant but no public GameSave error-code enum. Linux uses the constant name as the string and an SPI-only code 1 for local directory-create failure.
s:8GameSave0aB15SyncedDirectoryC5StateO11descriptionSSvp	What are the exact CustomStringConvertible strings Apple emits for each GameSaveSyncedDirectory.State case, including associated URL and version payloads?	fail-closed	Stdlib docs on description do not record GameSave's format. Linux uses case-name prefixes (ready(path), syncing, conflicted(count:), …).
s:8GameSave0aB15SyncedDirectoryC7VersionC11descriptionSSvp	What is the exact Version.description format on iOS 26.1 (url only, device name, dates)?	fail-closed	The graph inherits the stdlib CustomStringConvertible comment. Linux emits a debug-style string and must not pretend it is Apple's formatter.
s:8GameSave0aB15SyncedDirectoryC04openD019containerIdentifierACSSSg_tFZ	When containerIdentifier is nil, which iCloud container does openDirectory select if the entitlements array is empty, missing, or has several identifiers? Does Linux's "GameSave.local" fallback match any Apple sentinel?	cloud	Docs say "first container identifier listed in com.apple.developer.icloud-container-identifiers". Linux has no entitlements and uses a local default id.
s:8GameSave0aB15SyncedDirectoryC	Does openDirectory return the same instance for a repeated container id, and does == compare ObjectIdentifier or the container id string on iOS 26.1?	persistence	Linux compares id strings so two opens of the same container are ==. Apple identity/retention is unobserved.
s:8GameSave0aB15SyncedDirectoryC13finishSyncingyyYaF	When the user is not signed in to iCloud Drive, does finishSyncing() settle on .local, .ready, or .error, on which queue, and does it ever hop through .syncing first?	cloud	Docs for the UIWindow overload mention informing the user then switching to local saving. Linux opens already in .local and only maps host-injected .syncing to .local; callback timing cannot be awaited by the sealed runner.
s:8GameSave0aB15SyncedDirectoryC20triggerPendingUploadSbyYaF	Does triggerPendingUpload() return true for purely local dirty files that have never been uploaded, or only for an existing iCloud push queue?	cloud	Linux always returns false because there is no Drive daemon. Inventing true would fabricate a successful Apple upload.
s:8GameSave0aB15SyncedDirectoryC16resolveConflicts4withyAC7VersionC_tF	After resolveConflicts(with:), is the resulting state .ready, .local, or .syncing, and must the Version object identity match a conflicted entry versus URL identity?	cloud	Linux accepts URL or object identity and settles on .local(version.url). Apple conflict UI and post-resolve state are unobserved.
c:objc(cs)GSSyncedDirectory(im)finishSyncing:completionHandler:	Does the UIWindow status-display overload present a modal on the given window's queue, and what happens if window is nil or not key?	fail-closed	UIKit is not a GameSave dependency. The identifier is deferred on Linux rather than shimming UIWindow.
s:7SwiftUI4ViewP8GameSaveE04gameE12SyncingAlert9directory15finishedLoadingQrAA7BindingVyAD0dE15SyncedDirectoryCSgG_yyctF	On which actor/queue does finishedLoading run, and does a nil directory binding skip the alert without calling the closure?	fail-closed	The method is a SwiftUICore View extension. SwiftUI is not a GameSave dependency; the identifier stays deferred until a SwiftUI overlay exists.
s:8GameSave0aB15SyncedDirectoryC5stateAC5StateOvp	Is GameSaveSyncedDirectory Observation.Observable, and are state writes published on MainActor?	persistence	The graph records Observable / Sendable conformances. Linux is @unchecked Sendable with NSLock and does not import Observation.
module	When guest UIKit and iCloud entitlements exist on the clean EC2 integration build, should finishSyncing(statusDisplay:) and gameSaveSyncingAlert be implemented as fail-closed UI, or remain omitted until an Apple-oracle records the alert copy and conflict sheet?	cloud	Isolated-host compilation cannot import UIKit or SwiftUI. Wiring those surfaces without observed UI would invent Apple chrome.
