module	slug	lane	priority	risks	dependencies
StoreKit	storekit	medium-full	100	ui,fail-closed	Foundation
Charts	charts	medium-full	100	ui,fail-closed	Foundation
Accelerate	accelerate	medium-full	100	ui,fail-closed	Foundation
AppIntents	appintents	medium-full	100	ui,fail-closed	Foundation
AVFoundation	avfoundation	medium-full	100	ui,fail-closed	Foundation
WidgetKit	widgetkit	medium-full	100	ui,fail-closed	Foundation
CoreMedia	coremedia	large-partitioned	100	media,time,c-abi,buffer-ownership,callbacks,concurrency	CoreAudioTypes,CoreFoundation,CoreVideo,Foundation
Network	network	medium-full	100	ui,fail-closed	Foundation
PhotosUI	photosui	medium-full	100	ui,fail-closed	Foundation
CoreML	coreml	large-partitioned	100	ml-backend,tensor,model-io	CoreGraphics,CoreVideo,Foundation,ImageIO
MetalPerformanceShaders	metalperformanceshaders	large-partitioned	100	gpu,numerics,hardware,metal	Foundation,Metal
Intents	intents	medium-full	100	ui,fail-closed	Foundation
HomeKit	homekit	large-partitioned	100	os-service,network,fail-closed	Foundation
HealthKit	healthkit	large-partitioned	100	health,privacy,store,fail-closed	CoreLocation,Foundation,UniformTypeIdentifiers
Vision	vision	large-partitioned	100	machine-learning,image-processing,hardware	CoreGraphics,CoreImage,Foundation
AudioToolbox	audiotoolbox	large-partitioned	100	audio,realtime,c-abi,callbacks,buffer-ownership,fail-closed	CoreAudioTypes,CoreFoundation,Foundation
