module	slug	lane	priority	risks	dependencies
CoreData	coredata	large-partitioned	100	persistence,concurrency,migration	Foundation
CloudKit	cloudkit	large-partitioned	100	identity,network,database	Foundation
MediaPlayer	mediaplayer	large-partitioned	100	media,host-service,ui	CoreGraphics,Foundation
EventKit	eventkit	medium-full	100	calendar,privacy,host-store	Foundation
JavaScriptCore	javascriptcore	medium-full	100	scripting,c-abi,backend	Foundation
PDFKit	pdfkit	large-partitioned	100	rendering,document-io,ui	CoreGraphics,Foundation,UIKit
Contacts	contacts	large-partitioned	100	privacy,host-store,in-memory	Foundation
Speech	speech	medium-full	100	microphone,privacy,remote-service	AVFoundation,Foundation
AVFAudio	avfaudio	large-partitioned	100	audio,realtime,c-abi-deps	AudioToolbox,CoreAudio,CoreAudioTypes,CoreMIDI,CoreMedia,Foundation
AudioToolbox	audiotoolbox	large-partitioned	100	audio,realtime,c-abi,callbacks,buffer-ownership,fail-closed	CoreAudioTypes,CoreFoundation,Foundation
CoreTransferable	coretransferable	medium-full	100	ui,fail-closed	Foundation
ContactsUI	contactsui	large-partitioned	100	privacy,ui,contacts	Contacts,Foundation,UIKit
Vision	vision	large-partitioned	100	machine-learning,image-processing,hardware	CoreGraphics,CoreImage,Foundation
CoreML	coreml	large-partitioned	100	ml-backend,tensor,model-io	CoreGraphics,CoreVideo,Foundation,ImageIO
CoreBluetooth	corebluetooth	medium-full	100	bluetooth,privacy,host-driven	Foundation
Metal	metal	large-partitioned	100	gpu,abi,hardware,host-driven	CoreGraphics,Foundation,IOSurface
QuickLook	quicklook	medium-full	100	ui,fail-closed	Foundation
Charts	charts	medium-full	100	ui,fail-closed	Foundation
CoreSpotlight	corespotlight	medium-full	100	ui,fail-closed	Foundation
CFNetwork	cfnetwork	large-partitioned	100	network,c-abi,streams,host-service	CoreFoundation,Foundation,Security,SystemConfiguration
NetworkExtension	networkextension	large-partitioned	100	network,entitlement,vpn,fail-closed	ExtensionFoundation,Foundation,Network,Security
FileProvider	fileprovider	large-partitioned	100	storage,extension,privacy,host-service	CoreGraphics,Foundation
ActivityKit	activitykit	medium-full	100	entitlement,background,swiftui	Foundation,SwiftUI,WidgetKit
VideoToolbox	videotoolbox	large-partitioned	100	codec,hardware,c-abi-deps,gpu	CoreMedia,CoreVideo,Foundation
HealthKit	healthkit	large-partitioned	100	health,privacy,store,fail-closed	CoreLocation,Foundation,UniformTypeIdentifiers
SceneKit	scenekit	large-partitioned	100	rendering,gpu,physics	CoreGraphics,Foundation,Metal,QuartzCore
ARKit	arkit	large-partitioned	100	camera,sensors,rendering,privacy	AVFoundation,CoreGraphics,CoreLocation,CoreVideo,Foundation,ImageIO,Metal,SceneKit,SpriteKit,UIKit,Vision
CarPlay	carplay	large-partitioned	100	entitlement,vehicle,ui	Foundation,MapKit,UIKit
GameController	gamecontroller	large-partitioned	100	input,hardware,host-driven	CoreServices,Foundation,UIKit
FoundationModels	foundationmodels	medium-full	100	ui,fail-closed	Foundation
