module	slug	lane	priority	risks	dependencies
CoreServices	coreservices	legacy-adapter	100	legacy-umbrella,c-abi	Foundation,MobileCoreServices,UniformTypeIdentifiers
Contacts	contacts	large-partitioned	99	privacy,host-store,in-memory	Foundation
MediaPlayer	mediaplayer	large-partitioned	98	media,host-service,ui	Foundation,CoreGraphics
CoreData	coredata	large-partitioned	97	persistence,concurrency,migration	Foundation
CoreMotion	coremotion	medium-full	96	sensors,privacy,host-driven	Foundation
Social	social	leaf-full	95	ui,account-service,fail-closed	Foundation,UIKit
CoreTelephony	coretelephony	leaf-full	94	telephony,privacy,fail-closed	Foundation
TipKit	tipkit	large-partitioned	93	persistence,swiftui,macros	Foundation,SwiftUI
WatchConnectivity	watchconnectivity	leaf-full	92	device-service,host-driven,callbacks	Foundation
ActivityKit	activitykit	medium-full	91	entitlement,background,swiftui	Foundation,SwiftUI,WidgetKit
PDFKit	pdfkit	large-partitioned	90	rendering,document-io,ui	Foundation,CoreGraphics,UIKit
ContactsUI	contactsui	large-partitioned	89	privacy,ui,contacts	Foundation,Contacts,UIKit
Vision	vision	large-partitioned	88	machine-learning,image-processing,hardware	Foundation,CoreGraphics,CoreImage
Speech	speech	medium-full	87	microphone,privacy,remote-service	Foundation,AVFoundation
CarPlay	carplay	large-partitioned	80	entitlement,vehicle,ui	Foundation,UIKit,MapKit
SceneKit	scenekit	large-partitioned	79	rendering,gpu,physics	Foundation,CoreGraphics,QuartzCore,Metal
CloudKit	cloudkit	large-partitioned	78	identity,network,database	Foundation
UserNotificationsUI	usernotificationsui	leaf-full	77	extension,ui,notifications	Foundation,UIKit,UserNotifications
CallKit	callkit	medium-full	76	telephony,audio,host-service	Foundation,AVFoundation
PushKit	pushkit	leaf-full	75	push,identity,fail-closed	Foundation
JavaScriptCore	javascriptcore	medium-full	74	scripting,c-abi,backend	Foundation
NotificationCenter	notificationcenter	leaf-full	73	widget,ui,legacy	Foundation,UIKit
ReplayKit	replaykit	leaf-full	72	capture,privacy,host-service	Foundation,UIKit,AVFoundation
EventKit	eventkit	medium-full	71	calendar,privacy,host-store	Foundation
VisionKit	visionkit	medium-full	70	camera,document-scan,ui	Foundation,UIKit,Vision
