module	slug	lane	priority	risks	dependencies
AppIntents	appintents	medium-full	100	ui,fail-closed	Foundation
Accelerate	accelerate	medium-full	100	ui,fail-closed	Foundation
AVFoundation	avfoundation	medium-full	100	ui,fail-closed	Foundation
Matter	matter	large-partitioned	100	hardware,network,c-abi,fail-closed	Foundation
Metal	metal	large-partitioned	100	gpu,abi,hardware,host-driven	CoreGraphics,Foundation,IOSurface
Vision	vision	large-partitioned	100	machine-learning,image-processing,hardware	CoreGraphics,CoreImage,Foundation
WebKit	webkit	medium-full	100	ui,fail-closed	Foundation
HealthKit	healthkit	large-partitioned	100	health,privacy,store,fail-closed	CoreLocation,Foundation,UniformTypeIdentifiers
AudioToolbox	audiotoolbox	large-partitioned	100	audio,realtime,c-abi,callbacks,buffer-ownership,fail-closed	CoreAudioTypes,CoreFoundation,Foundation
CloudKit	cloudkit	large-partitioned	100	identity,network,database	Foundation
Photos	photos	medium-full	100	ui,fail-closed	Foundation
SceneKit	scenekit	large-partitioned	100	rendering,gpu,physics	CoreGraphics,Foundation,Metal,QuartzCore
MetalPerformanceShaders	metalperformanceshaders	large-partitioned	100	gpu,numerics,hardware,metal	Foundation,Metal
CoreData	coredata	large-partitioned	100	persistence,concurrency,migration	Foundation
Charts	charts	medium-full	100	ui,fail-closed	Foundation
CoreText	coretext	medium-full	100	ui,fail-closed	Foundation
