module	slug	lane	priority	risks	dependencies
StoreKit	storekit	medium-full	100	ui,fail-closed	Foundation
CoreMedia	coremedia	large-partitioned	100	media,time,c-abi,buffer-ownership,callbacks,concurrency	CoreAudioTypes,CoreFoundation,CoreVideo,Foundation
Network	network	medium-full	100	ui,fail-closed	Foundation
CoreML	coreml	large-partitioned	100	ml-backend,tensor,model-io	CoreGraphics,CoreVideo,Foundation,ImageIO
Intents	intents	medium-full	100	ui,fail-closed	Foundation
Charts	charts	medium-full	100	ui,fail-closed	Foundation
Accelerate	accelerate	medium-full	100	ui,fail-closed	Foundation
AppIntents	appintents	medium-full	100	ui,fail-closed	Foundation
AVFoundation	avfoundation	medium-full	100	ui,fail-closed	Foundation
Matter	matter	large-partitioned	100	hardware,network,c-abi,fail-closed	Foundation
Metal	metal	large-partitioned	100	gpu,abi,hardware,host-driven	CoreGraphics,Foundation,IOSurface
Vision	vision	large-partitioned	100	machine-learning,image-processing,hardware	CoreGraphics,CoreImage,Foundation
HealthKit	healthkit	large-partitioned	100	health,privacy,store,fail-closed	CoreLocation,Foundation,UniformTypeIdentifiers
PhotosUI	photosui	medium-full	100	ui,fail-closed	Foundation
AVKit	avkit	medium-full	100	ui,fail-closed	Foundation
AudioToolbox	audiotoolbox	large-partitioned	100	audio,realtime,c-abi,callbacks,buffer-ownership,fail-closed	CoreAudioTypes,CoreFoundation,Foundation
