module	slug	lane	priority	risks	dependencies
AVFAudio	avfaudio	large-partitioned	100	audio,realtime,c-abi-deps	AudioToolbox,CoreAudio,CoreAudioTypes,CoreMIDI,CoreMedia,Foundation
ClockKit	clockkit	medium-full	99	widget,timeline,ui,fail-closed	Foundation,UIKit
MetalKit	metalkit	medium-full	98	ui,gpu,central-metal	CoreGraphics,Foundation,Metal,ModelIO,QuartzCore,UIKit
NetworkExtension	networkextension	large-partitioned	97	network,entitlement,vpn,fail-closed	ExtensionFoundation,Foundation,Network,Security
GameplayKit	gameplaykit	medium-full	96	algorithms,randomness,pathfinding	Foundation,SceneKit,SpriteKit
AdAttributionKit	adattributionkit	leaf-full	95	attribution,privacy,fail-closed	Foundation
Translation	translation	leaf-full	94	language,ml-service,fail-closed	Foundation
GameController	gamecontroller	large-partitioned	93	input,hardware,host-driven	CoreServices,Foundation,UIKit
ARKit	arkit	large-partitioned	92	camera,sensors,rendering,privacy	AVFoundation,CoreGraphics,CoreLocation,CoreVideo,Foundation,ImageIO,Metal,SceneKit,SpriteKit,UIKit,Vision
FileProvider	fileprovider	large-partitioned	91	storage,extension,privacy,host-service	CoreGraphics,Foundation
CoreBluetooth	corebluetooth	medium-full	90	bluetooth,privacy,host-driven	Foundation
WiFiAware	wifiaware	medium-full	89	network,privacy,hardware,host-driven	Foundation,Network,OSLog
CoreNFC	corenfc	large-partitioned	88	nfc,entitlement,privacy,fail-closed	Foundation
MultipeerConnectivity	multipeerconnectivity	leaf-full	87	network,discovery,privacy	Foundation,UIKit
CoreML	coreml	large-partitioned	86	ml-backend,tensor,model-io	CoreGraphics,CoreVideo,Foundation,ImageIO
ImagePlayground	imageplayground	medium-full	85	generative-service,ui,fail-closed	CoreGraphics,Foundation,ImageIO,PencilKit,SwiftUI,UIKit
AppTrackingTransparency	apptrackingtransparency	leaf-full	84	privacy,consent,fail-closed	Foundation
HealthKit	healthkit	large-partitioned	83	health,privacy,store,fail-closed	CoreLocation,Foundation,UniformTypeIdentifiers
MatterSupport	mattersupport	leaf-full	82	smart-home,commissioning,ui,fail-closed	Foundation,Matter
GLKit	glkit	legacy-adapter	81	deprecated,gpu,compatibility	CoreFoundation,CoreGraphics,Foundation,ModelIO,OpenGLES,UIKit
AlarmKit	alarmkit	medium-full	80	entitlement,scheduling,swiftui	ActivityKit,AppIntents,Foundation,SwiftUI
MetricKit	metrickit	medium-full	79	telemetry,os-service,fail-closed	Foundation
EventKitUI	eventkitui	medium-full	78	calendar,privacy,ui	Combine,DeveloperToolsSupport,EventKit,Foundation,SwiftUI,UIKit
Accounts	accounts	legacy-adapter	77	deprecated,account-service,fail-closed	Foundation
