precise	question	risk	reason
c:@F@vImageBoxConvolve_ARGB8888	On Darwin, does vImageBoxConvolve_ARGB8888 with kvImageBackgroundColorFill use the background Pixel_8888 only outside the source, and is rounding still (sum + divisor/2)/divisor for every channel including alpha?	fail-closed	Linux implements kvImageEdgeExtend only; other edge styles return kvImageInvalidEdgeStyle. Background-fill pixels are unobserved.
c:@F@BNNSFilterCreateLayerActivation	When BNNSFilterCreateLayerActivation is called with a valid descriptor on iOS 26.1, does a missing BNNS runtime yield NULL, a process-fatal error, or a non-NULL filter that fails later in BNNSFilterApply?	fail-closed	Linux returns nil. Apple's BNNS availability and error payload are unobserved.
s:10Accelerate4vDSPO3add__6resultyx_q_q0_ztAA0A6BufferRzAaFR_AA0a7MutableE0R0_Sf7ElementRtzSfAHRt_SfAHRt0_r1_lFZ	Does Apple vDSP.add(_:_:result:) require equal counts and trap on mismatch, or does it process min(count) as this Linux loop does?	fail-closed	Linux uses min(count). Apple's mismatch/overlap policy is unobserved.
module	Which BNNS and vImage status codes does iOS 26.1 actually return for NULL filter / missing temp buffer versus kvImageInvalidParameter, and are they stable across Accelerate releases?	fail-closed	Linux stubs return nil or kvImageInvalidParameter. Mapping onto Apple status codes needs an Apple-oracle probe.
c:@F@cgbmv_	Do Darwin packed/banded complex BLAS (cgbmv_/chbmv_/chpmv_/chpr*/ctbmv_/ctbsv_/ctpmv_/ctpsv_ and z twins) match netlib band/pack layouts for small 2x2 cases, or do they have Apple-specific layouts?	fail-closed	Apple macOS 26.1 / Xcode 26.1 oracle 2026-09-14 matched netlib column-packed and banded layouts on 2x2/3x3 cases. Linux implements those entry points with the same layouts.
c:@F@SparseFactor#$@EA@SparseFactorization_t#$@SA@SparseMatrix_Float#	Does Darwin SparseFactor(.cholesky/.lu/...) store a true sparse factorization, or may a dense LU of the CSC clone be treated as a compatible Linux stand-in for small systems?	fail-closed	Linux clones CSC and solves with dense Gaussian elimination regardless of SparseFactorization_t. Apple factor storage and status codes are unobserved.
c:@F@vremquof	For |x/y| >= 128 (e.g. x=1000, y=1, q=1000), which 7 bits of the integral quotient does Apple's vremquof store, and what is stored when x/y overflows to infinity or is NaN?	fail-closed	Linux stores sign-of-(x/y) with the 7 low-order magnitude bits (0 for non-finite quotients); small-quotient lanes (3, -3, 2) are oracle-pinned in scratch/oracle-2026-09-14/vfp-simd-2026-09-14.txt but large-quotient and NaN lanes are unobserved.
c:@F@vclassifyf	Do Apple's vclassifyf FP_xxx codes stay NAN=1/INFINITE=2/ZERO=3/NORMAL=4/SUBNORMAL=5 across releases and on signaling-NaN lanes?	fail-closed	Linux maps FloatingPointClassification onto those macOS 26.1-oracle values (they differ from glibc fpclassify); signaling-NaN and cross-release stability are unobserved.
c:@F@SparseCreateSubfactor#$@EA@SparseSubfactor_t#$@SA@SparseOpaqueFactorization_Float#	On macOS 26.1 SparseCreateSubfactor traps for factors built by the single-call SparseFactor path (SparseSubfactorL and SparseSubfactorD on LU factors), and the structure-only SparseFactor symbolic path traps too. Which two-phase construction makes subfactor extraction succeed, and does subfactor multiply then apply only the triangular part?	fail-closed	Linux subfactors alias the full stored CSC clone and multiply/solve apply the whole matrix regardless of the contents selector. Apple's triangular-extraction and two-phase requirements are unobserved, so the Linux behavior is documented as divergent.
c:@F@SparseGetStateSize_Float#$@SA@SparseIterativeMethod#b#I#I#I#	What exact byte counts does iOS 26.1 report from SparseGetStateSize_* across methods, preconditioner flags, and (m, n, nrhs)? macOS 26.1 reports 20 for (CG, false, 2, 2, 1).	fail-closed	Linux keeps no iterate state (SparseIterate stays a declared stub) and reports 0. If SparseIterate ever gains a real implementation, these sizes must be revisited.
s:Sa10AccelerateSfRszlE16fromSplitComplex5scale5countSaySfGSo08DSPSplitD0V_SfSitcfc	For odd count values, does Apple Array(fromSplitComplex:scale:count:) leave the trailing element uninitialized (observed heap garbage/zero on macOS 26.1 for count 1/3) or write a defined value?	fail-closed	Linux writes a deterministic 0 tail and fills count/2 pairs; odd-count tails are unobservable-stable on Apple.
s:10Accelerate4BNNSO18RelationalOperatorV	Does Apple BNNS.RelationalOperator store exactly one BNNSRelationalOperator code (MemoryLayout size 4 on macOS 26.1), and do its twelve statics map 1:1 onto the BNNSRelationalOperator* C constants?	fail-closed	Linux stores one BNNSRelationalOperator code per oracle-mapped static; Apple field layout beyond size is unobserved.
s:10Accelerate9BNNSGraphO7BuilderV6TensorV3absAGy__xGyF	When a BNNSGraph build closure applies elementwise Tensor ops (abs/cos/relu/softmax/...) on macOS 26.1, do those methods record pure graph nodes that makeContext can compile, and are intermediate Tensors readable before execution?	fail-closed	Linux implements no Builder.Tensor math ops and makeContext always throws unableToCreateContext; whether Apple graph construction is observable without execution is unconfirmed, so these rows stay declared.
s:10Accelerate4BNNSO13AdamOptimizerV12learningRate5beta15beta28timeStep7epsilon13gradientScale014regularizationM016clipsGradientsTo0N8FunctionAESf_S6fSNySfGSgSo027BNNSOptimizerRegularizationR0atcfc	For the clipsGradientsTo: overloads (Adam/RMSProp/SGD), does Apple derive gradientClipping=.byValue(bounds:) from the bounds, keep a separate clipping field, or ignore one of them when both spellings are set on the same optimizer value?	fail-closed	Linux stores the bounds and mirrors them into gradientClipping (.byValue when non-nil, .none otherwise); Apple dual-field precedence is unobserved.
