precise	question	risk	reason
c:@kUTTypeUniversalSceneDescription	What are the exact NSString/UTI payloads of kUTType3dObject, kUTTypeAlembic, kUTTypePolygon, kUTTypeStereolithography, kUTTypeUniversalSceneDescription, and kUTTypeUniversalSceneDescriptionMobile on iPhoneOS 26.1?	file-formats	The SDK records exported symbol names only. This port keeps identifier-as-string constants and does not claim Apple's binary UTI table.
c:@MDLVertexAttributePosition	What are the exact NSString payloads of the MDLVertexAttribute* constants in the iPhoneOS 26.1 dylib?	c-abi	Public headers document the identifiers; this port uses those identifier strings and does not claim Apple's binary constant payloads.
c:objc(cs)MDLAsset(cm)canImportFileExtension:	Does Apple's canImportFileExtension/canExportFileExtension accept USD/USDA/USDC/USDZ/ABC on this SDK, and which USD parser version is linked?	file-formats	Linux has no Apple USD/Alembic importer. This port only claims OBJ/STL and fail-closes other extensions.
c:objc(cs)MDLUtility(cm)convertToUSDZ:writeToURL:	Does MDLUtility.convert(toUSDZ:writeTo:) throw, no-op, or overwrite the destination when USD conversion is unavailable?	fail-closed	Apple USDZ conversion requires the USD toolchain. This port leaves the destination uncreated.
c:objc(cs)MDLCamera(py)projectionMatrix	What clip-space convention (Metal vs OpenGL, infinite far plane, row vs column) does MDLCamera.projectionMatrix use on iPhoneOS 26.1?	graphics	The public header returns matrix_float4x4 without documenting NDC. Linux uses a documented local perspective/ortho convention.
c:objc(cs)MDLLight(im)irradianceAtPoint:	What CGColorSpace and component layout does MDLLight.irradiance(atPoint:) return by default?	graphics	CoreGraphics is not a declared dependency of this isolated host compile.
c:objc(cs)MDLObject(im)componentConformingToProtocol:	How does Apple map an ObjC Protocol argument onto Swift any MDLComponent storage for componentConforming(to:)/setComponent(_:for:)/subscript?	c-abi	Linux Foundation does not expose the ObjC Protocol type. Those entry points are omitted here.
c:objc(cs)MDLMesh(im)generateAmbientOcclusionTextureWithQuality:attenuationFactor:objectsToConsider:vertexAttributeNamed:materialPropertyNamed:	Does Apple's AO/lightmap baker return false, skip, or produce a default white texture when GPU/ray resources are absent?	graphics	This port returns false and does not invent baked lighting.
c:objc(cs)MDLSkyCubeTexture(im)updateTexture	What physical sky model (Preetham, Hosek-Wilkie, or a private table) and default turbidity/sun angles does MDLSkyCubeTexture.updateTexture use?	graphics	Headers expose parameters but not the analytic model. Linux uses a simplified gradient and does not claim Apple pixels.
c:objc(cs)MDLCheckerboardTexture(py)color1	When color1/color2 are nil on MDLCheckerboardTexture, what default CGColors does Apple sample?	graphics	CGColor is unavailable on this host; the Linux checkerboard uses black/white uInt8 texels.
module	Which simd/matrix_float4x4 layout and quaternion (ix,iy,iz,r) convention does the iPhoneOS 26.1 ModelIO module import from the simd module?	c-abi	The isolated gate cannot import simd. This port aliases SIMD types locally and does not claim Apple bit-identical matrices.
