precise	question	risk	reason
c:@ACAccountTypeIdentifierTwitter	What is the exact Darwin string payload of ACAccountTypeIdentifierTwitter and of the Facebook/Sina Weibo/Tencent Weibo siblings on iPhoneOS 26.1?	deprecated	Linux keeps source-compatible placeholders. Exact bytes are not in the seed and are coverage-declared until probed.
c:@ACErrorDomain	Is ACErrorDomain exactly com.apple.accounts on the iPhoneOS 26.1 runtime, and is ACErrorCode imported as UInt32 rather than Int?	fail-closed	Fail-closed NSError uses the local ACErrorDomain constant. The Darwin domain string and integer width are unobserved.
c:@E@ACErrorCode@ACErrorUnknown	Are the public ACError* constants numbered 1 through 23 on this SDK, with ACErrorUnknown = 1?	fail-closed	Named constants compile with a local numbering so NSError.code is stable. That mapping is declared, not Darwin-probed.
c:objc(cs)ACAccountStore(im)requestAccessToAccountsWithType:options:completion:	On Darwin, does a denied or unsupported requestAccess complete with (false, nil), (false, NSError), or omit the callback, and on which queue?	account-service	Linux delivers exactly once, asynchronously, on Accounts.ACAccountStore.completion with false plus a fail-closed NSError. Apple prompt/daemon timing is unobserved.
c:objc(cs)ACAccountStore(im)renewCredentialsForAccount:completion:	Does the Swift async overlay throw when the completion reports .failed plus an error, or does it return ACAccountCredentialRenewResult.failed?	account-service	Linux async overlays wait on the callback path and throw the fail-closed NSError. Darwin's throw-versus-return mapping is unobserved.
c:objc(cs)ACAccountStore(im)accountTypeWithAccountTypeIdentifier:	Does accountType(withAccountTypeIdentifier:) return nil, a type object with a nil identifier, or a populated type for an unknown identifier and for nil?	account-service	Linux returns a local ACAccountType for any non-nil identifier with accessGranted false, and nil when the identifier is nil.
c:objc(cs)ACAccount(py)identifier	Is ACAccount.identifier nil until a successful save, and is the property actually NSString (weak) rather than String in the Darwin overlay?	account-service	Linux keeps identifier nil because save never succeeds. The graph spells weak var identifier: NSString!.
c:@ACAccountStoreDidChangeNotification	Is NSNotification.Name.ACAccountStoreDidChange.rawValue exactly ACAccountStoreDidChangeNotification, and does Darwin post it on save?	fail-closed	Linux declares the name and never posts. Posting would fabricate an account-database change.
c:objc(cs)ACAccountType(py)accountTypeDescription	What display string does Darwin return for the four public social account types?	deprecated	Linux currently mirrors the requested identifier as a local descriptor. That is not an Apple display name.
module	Should Linux save/remove/requestAccess/renew use ACErrorPermissionDenied, ACErrorUnknown, or a distinct unavailable code when no account daemon exists?	fail-closed	The public enum has no featureUnsupported case. PermissionDenied is a local fail-closed choice until an Apple-oracle probe records the Darwin error.
