precise	question	risk	reason
s:10ContactsUI19ContactAccessButtonV7CaptionO8rawValueSSvp	What are Darwin's String raw values for ContactAccessButton.Caption.defaultText, .email, and .phone?	ui	Linux uses compiler-synthesized case names (defaultText, email, phone). Those bytes are not an Apple-oracle observation.
s:10ContactsUI19ContactAccessButtonV5StyleV24imageTrailingEdgePadding0G5Width0G5ColorAE14CoreFoundation7CGFloatVSg_AL05SwiftB00L0VSgtcfc	Does Darwin treat Style.automatic as all-nil padding, width, and Color, and what is the default Color?	ui	Linux stores optional CGFloat padding/width and a Color lookalike. Automatic is the empty Style(). Darwin Color payload is unobserved.
c:objc(cs)CNContactViewController(cm)descriptorForRequiredKeys	Which CNKeyDescriptor does Darwin CNContactViewController.descriptorForRequiredKeys() return (identifier set, equality vs CNContact.descriptorForRequiredKeys())?	contacts	Linux returns CNContact.descriptorForAllComparatorKeys() from the Contacts lookalike / port. Apple's descriptor payload is unobserved.
c:objc(pl)CNContactPickerDelegate(im)contactPicker:didSelectContact:	When a picker is dismissed without a selection on Darwin, is contactPickerDidCancel the only callback, and on which queue?	privacy	Linux host SPI delivers cancel or didSelect on the calling @MainActor context and never fabricates a CNContact the caller did not pass.
c:objc(cs)CNContactPickerViewController(py)predicateForEnablingContact	Does Darwin evaluate picker predicates with NSPredicate(format:) KVC against CNContact, and which formats (givenName ==, emailAddresses.@count) are accepted?	contacts	swift-corelibs-foundation cannot parse predicate format strings. Linux compiles a documented portable subset to NSPredicate(block:) via ContactsUIHostControl.predicate(format:argument:).
c:objc(cs)CNContactViewController	What is the iOS 26.1 SE 2x grouped-table chrome of CNContactViewController for a fixture contact (section order, label strings, navigation bar)?	ui	uikit/scripts/conformance_flow.sh is in-tree but has no ContactsUI fixture and this host cannot run simulator capture. Linux exposes a portable section model only.
module	Without Contacts authorization on Darwin, does ContactAccessButton.approvalCallback run with [] or remain uninvoked until a user grant?	privacy	Linux never auto-invokes the callback. Host SPI and contactAccessPicker deliver [] because this host has no limited-access authorization.
c:objc(cs)UIApplicationShortcutIcon(cm)iconWithContact:	Does Darwin init(contact:) embed the contact thumbnail, and what is the icon when imageData is empty?	ui	Linux lookalike stores the contact identifier only. OpenUIKit's UIApplicationShortcutIcon.init(storage:) is private, so a UIKit-linked guest can only use IconType.contact.
module	Does Darwin post CNContactPickerViewControllerPickerDidShowNotification / DidHideNotification on the main queue when chrome appears and after every dismiss, including a failing predicate that leaves the picker open?	ui	Linux posts show only from host SPI reportPickerDidShow and hide only after a successful dismiss (cancel or accepted selection). A failing predicate does not post hide.
c:objc(cs)CNContactPickerViewController(py)displayedPropertyKeys	When displayedPropertyKeys is nil on Darwin, are all CNContact property keys selectable, or only a default subset?	contacts	Linux treats nil as no filter (every keyed property may be selected). A non-matching key is fail-closed: no didSelect.
