precise	question	risk	reason
c:objc(cs)MTLFXSpatialScalerDescriptor(cm)supportsDevice:	On which Apple GPU families and OS versions is MTLFXSpatialScalerDescriptor.supportsDevice true, and does makeSpatialScaler still return nil whenever that query is false?	gpu	Linux has no Apple GPU. This port always returns false / nil. Graphs and macios export the selectors but not the family table or the factory pairing.
c:objc(cs)MTLFXSpatialScalerDescriptor(cm)supportsMetal4FX:	Is supportsMetal4FX a strict subset of supportsDevice, and which Metal 4 compiler/device pairs return true on Darwin?	gpu	Linux always returns false and makeSpatialScaler(device:compiler:) returns nil. No Metal 4 compiler or Apple FX hardware is present.
c:objc(cs)MTLFXTemporalScalerDescriptor(cm)supportedInputContentMinScaleForDevice:	What exact Float values do supportedInputContentMinScale/MaxScale return per GPU family on Darwin, including unsupported devices?	gpu	Linux reports identity-only 1.0 for both, as a fail-closed no-upscale range. Public headers do not pin numeric payloads.
c:objc(cs)MTLFXTemporalScalerDescriptor(py)inputContentMinScale	What are the default inputContentMinScale and inputContentMaxScale on a freshly allocated Darwin descriptor before any setter runs?	gpu	Linux initializes both to 1.0 (identity). That is a port policy, not an Apple observation.
c:objc(pl)MTLFXSpatialScalerBase(py)colorTextureUsage	Which MTLTextureUsage bits does Apple's spatial/temporal/denoised/interpolator scaler report for each input and output texture?	graphics	Linux reports MTLTextureUsage.unknown (empty) because the required usage mask is not in the public seed. Guessing shaderRead/shaderWrite would invent ABI.
c:objc(pl)MTLFXTemporalScalerBase(py)preExposure	Is Darwin's default preExposure exactly 1.0 on a newly created temporal scaler, and does encode apply that scale on the GPU?	gpu	Linux stores 1.0 on host software objects as the documented identity default. encode never multiplies texels.
c:objc(pl)MTLFXTemporalDenoisedScalerBase(py)viewToClipMatrix	Are Darwin's default worldToViewMatrix and viewToClipMatrix identity, zero, or uninitialized garbage, and does encode consume them when textures are bound?	gpu	Linux uses simd_float4x4.identity as a fail-closed no-transform default. encode does not transform pixels.
c:objc(pl)MTLFXFrameInterpolator(im)encodeToCommandBuffer:	When required textures are nil or mismatched, does Apple's encode trap, no-op, write an incomplete frame, or encode GPU work that later fails the command buffer?	fail-closed	Linux encode is inert: it never writes output texels. Command-buffer error policy and MetalFX history reset semantics are unobserved.
c:objc(cs)MTLFXFrameInterpolatorDescriptor(py)scaler	Does assigning a temporal or denoised scaler to MTLFXFrameInterpolatorDescriptor.scaler retain it, copy configuration, or reject scalers created for a different device/size?	graphics	Linux retains the existential as supplied. Darwin coupling between interpolatable scalers and interpolators is not in the public seed.
module	Must every MetalFX encode/upscale/denoise/interpolate path remain fail-closed on Linux, or is there a documented CPU fallback that produces Apple-quality frames without a supported MTLDevice?	fail-closed	Fabricating spatial upscale, temporal accumulation, denoising, or interpolated frames would claim Apple GPU success. This starting point always reports unsupported devices and never writes output textures.
