precise	question	risk	reason
c:@E@SCNColorMask@SCNColorMaskRed	What are the Darwin raw bits for SCNColorMask red/green/blue/alpha/all?	rendering	PR #28 repair forbids guessed color-mask bits until oracle-attested; Linux placeholders must not be treated as ABI.
c:objc(cs)SCNCamera(py)projectionTransform	Is SCNCamera.projectionTransform OpenGL-style, Metal NDC, reverse-Z, and which axis is vertical FOV?	rendering	Linux helper is OpenGL-style with vertical FOV in degrees; Apple convention unobserved.
c:@S@SCNMatrix4	Is SCNMatrix4 stored and multiplied as CATransform3D row-vector math, and is SCNMatrix4Mult(A,B) A*B or B*A?	rendering	Linux Mult(A,B) is A*B and applies A then B for row-vector p'=p*M; Darwin associativity unobserved.
c:objc(cs)SCNNode(py)eulerAngles	What Euler convention (XYZ/ZYX, radians) does SCNNode.eulerAngles use relative to rotation/orientation?	rendering	Linux uses Y-up right-handed Tait-Bryan XYZ coupled to orientation/rotation; Apple mapping unobserved.
c:objc(cs)SCNTransaction(cpy)disableActions	Does SCNTransaction.disableActions suppress only implicit property animations, and do explicit SCNAction.runAction clocks still evaluate?	rendering	Repair requires explicit actions not complete immediately; full Darwin interaction with implicit animations unobserved.
c:@macro@SCN_ENABLE_METAL	Is SCN_ENABLE_METAL 1 in the iPhoneOS 26.1 SDK even when the client does not link Metal?	gpu	Isolated Linux host sets the flag to 0 because no Metal module is present.
c:objc(cs)SCNPhysicsWorld(im)updateCollisionPairs	What contacts, sleeping thresholds, and solver iterations does a default SCNPhysicsWorld produce after one step?	physics	Physics is fail-closed; Apple numeric simulation is unobserved.
c:objc(cs)SCNScene(cm)sceneNamed:	Does sceneNamed: search the main bundle, the framework bundle, or both, and what extensions are probed?	rendering	Loader is unavailable; search policy unobserved.
c:objc(cs)SCNNode(py)constraints	In which order does SceneKit apply LookAt, Distance, Billboard, and Transform constraints relative to actions each frame?	rendering	Linux applies the node's constraints array after actions; Apple order and world-space vs local-space mixing unobserved.
c:objc(pl)SCNAnimatable(im)addAnimation:forKey:	Does adding SCNAnimation to an animatable property implicitly drive it through CoreAnimation, and which key paths are live?	rendering	Linux stores animation players only; QuartzCore CAAnimation bridging is deferred.
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)SCNScene	What is the NSSecureCoding layout of a SceneKit .scn archive, and may a Linux port decode it without the Apple encoder?	rendering	Port does not decode .scn/.dae/.usdz; archive format unobserved.
c:objc(cs)SCNParticleSystem(im)addModifierForProperties:atStage:withBlock:	What is the exact SoA pointer/stride layout of SCNParticleModifierBlock on Darwin (components, padding, index vs particle-id)?	rendering	Linux packs requested properties as tightly packed Float SoA and rewrites particles after the block; Apple layout unobserved.
c:objc(cs)SCNCameraController(im)dollyToTarget:	Does positive dollyToTarget move the camera toward the target, and in which units (world units vs a scaled truck factor)?	rendering	Linux adds delta along the normalized target-minus-camera vector; Apple sign and scaling unobserved.
c:objc(cs)SCNPhysicsField(cm)linearGravityField	Is SCNPhysicsField.strength a force, an acceleration, or a scaled gravity multiplier, and is falloffExponent applied to linear fields?	physics	Linux linear fields apply direction*strength as a force independent of mass; radial uses strength/dist^falloff as attraction. Apple units unobserved.
c:objc(cs)SCNPhysicsVehicle(im)applyEngineForce:forWheelAtIndex:	Does applyEngineForce push the chassis along worldFront, along the wheel axle cross steering axis, or through a Bullet-style vehicle solver?	physics	Linux sums per-wheel engine minus brake and applies that as a chassis force along worldFront. Apple vehicle solver unobserved.
module	Which unmangled SCNVector3/SCNMatrix4 C exports and struct layouts must a C client link from libSceneKit.dylib?	rendering	Canonical C header/modulemap was requested by PR #28 repair but cannot be installed by the isolated Swift guest-manifest gate.
