precise	kind	title	path	declaration
c:@CSActionIdentifier	swift.var	CSActionIdentifier	CSActionIdentifier	let CSActionIdentifier: String
c:@CSIndexErrorDomain	swift.var	CSIndexErrorDomain	CSIndexErrorDomain	let CSIndexErrorDomain: String
c:@CSMailboxArchive	swift.var	CSMailboxArchive	CSMailboxArchive	let CSMailboxArchive: String
c:@CSMailboxDrafts	swift.var	CSMailboxDrafts	CSMailboxDrafts	let CSMailboxDrafts: String
c:@CSMailboxInbox	swift.var	CSMailboxInbox	CSMailboxInbox	let CSMailboxInbox: String
c:@CSMailboxJunk	swift.var	CSMailboxJunk	CSMailboxJunk	let CSMailboxJunk: String
c:@CSMailboxSent	swift.var	CSMailboxSent	CSMailboxSent	let CSMailboxSent: String
c:@CSMailboxTrash	swift.var	CSMailboxTrash	CSMailboxTrash	let CSMailboxTrash: String
c:@CSQueryContinuationActionType	swift.var	CSQueryContinuationActionType	CSQueryContinuationActionType	let CSQueryContinuationActionType: String
c:@CSSearchQueryErrorDomain	swift.var	CSSearchQueryErrorDomain	CSSearchQueryErrorDomain	let CSSearchQueryErrorDomain: String
c:@CSSearchQueryString	swift.var	CSSearchQueryString	CSSearchQueryString	let CSSearchQueryString: String
c:@CSSearchableItemActionType	swift.var	CSSearchableItemActionType	CSSearchableItemActionType	let CSSearchableItemActionType: String
c:@CSSearchableItemActivityIdentifier	swift.var	CSSearchableItemActivityIdentifier	CSSearchableItemActivityIdentifier	let CSSearchableItemActivityIdentifier: String
c:@CSSuggestionHighlightAttributeName	swift.type.property	suggestionHighlight	NSAttributedString.Key.suggestionHighlight	static let suggestionHighlight: NSAttributedString.Key
c:@E@CSIndexErrorCode	swift.enum	CSIndexError.Code	CSIndexError.Code	enum Code
c:@E@CSIndexErrorCode@CSIndexErrorCodeIndexUnavailableError	swift.enum.case	CSIndexError.Code.indexUnavailableError	CSIndexError.Code.indexUnavailableError	case indexUnavailableError
c:@E@CSIndexErrorCode@CSIndexErrorCodeIndexingUnsupported	swift.enum.case	CSIndexError.Code.indexingUnsupported	CSIndexError.Code.indexingUnsupported	case indexingUnsupported
c:@E@CSIndexErrorCode@CSIndexErrorCodeInvalidClientStateError	swift.enum.case	CSIndexError.Code.invalidClientStateError	CSIndexError.Code.invalidClientStateError	case invalidClientStateError
c:@E@CSIndexErrorCode@CSIndexErrorCodeInvalidItemError	swift.enum.case	CSIndexError.Code.invalidItemError	CSIndexError.Code.invalidItemError	case invalidItemError
c:@E@CSIndexErrorCode@CSIndexErrorCodeMismatchedClientState	swift.enum.case	CSIndexError.Code.mismatchedClientState	CSIndexError.Code.mismatchedClientState	case mismatchedClientState
c:@E@CSIndexErrorCode@CSIndexErrorCodeQuotaExceeded	swift.enum.case	CSIndexError.Code.quotaExceeded	CSIndexError.Code.quotaExceeded	case quotaExceeded
