precise	question	risk	reason
c:objc(cs)QLPreviewController(cm)canPreviewItem:	Which file types and UTI combinations does QLPreviewController.canPreview(_:) accept on iOS 26.1 when a generator is installed versus when only a local file URL exists?	fail-closed	The isolated host uses the UniformTypeIdentifiers port (or a host-local stand-in of the same identifiers) plus documented Office/iWork extras; Apple generator coverage is unobserved.
c:objc(pl)QLPreviewControllerDelegate(im)previewController:shouldOpenURL:forPreviewItem:	When a delegate does not implement previewController(_:shouldOpen:for:), does Apple default to allowing or refusing the open?	ui	Pinned macios DefaultValue is false; this lane's existing protocol default returns true to preserve the portable implementation already on main. Central oracle must pick the Apple default before either is claimed as parity.
c:objc(cs)QLPreviewReply(py)title	What is the default title of a QLPreviewReply created with init(fileURL:) before a generator assigns one?	fail-closed	Static graphs list the property but not the initial value; the host starts at an empty string and only tests assignment.
s:So14QLPreviewReplyC9QuickLookE14stringEncodingSS10FoundationE0F0Vvp	What String.Encoding does a freshly constructed QLPreviewReply use on iOS 26.1?	fail-closed	The graph and digester record the property type, not the Apple default; the host uses .utf8 as a local initial value.
c:objc(pl)QLPreviewingController(im)providePreviewForFileRequest:completionHandler:	On which queue does providePreview(for:) resume, and what NSError domain/code does Apple return when a generator cannot produce a reply?	fail-closed	The host default throws CocoaError.featureUnsupported and never talks to a Quick Look daemon.
s:7SwiftUI4ViewP011_QuickLook_aB0E05quickE7PreviewyQrAA7BindingVy10Foundation3URLVSgGF	Does View.quickLookPreview(_:) present immediately on appear, wait for a non-nil selection, and dismiss when the binding becomes nil?	ui	The overlay lives in a SwiftUI guest that the Foundation host gate does not compile; presentation timing is unobserved here.
c:objc(cs)QLPreviewSceneActivationConfiguration	Does init(itemsAt:options:) configure a UIWindowSceneActivationConfiguration that the system actually activates, and what happens when options is nil?	ui	The Foundation host stores URLs and options without UIKit scene activation.
c:objc(pl)QLPreviewControllerDelegate(im)previewController:frameForPreviewItem:inSourceView:	What CGRect and source-view mutation does Apple apply when the delegate is unimplemented, and is the pointer AutoreleasingUnsafeMutablePointer on the ObjC ABI?	ui	Linux defaults to CGRect.zero with UnsafeMutablePointer because AutoreleasingUnsafeMutablePointer is not in the toolchain; Apple chrome geometry is unobserved.
module	Does QLPreviewController reloadData query the data source on the main queue only, and does it retain preview items across reload when the data source returns the same identities?	ui	Linux caches the current fetch in-process; Apple retention and generator reuse are unobserved.
module	What is the iOS 26.1 QLPreviewController chrome for an image item on iPhone SE 2x (nav bar height, title font, content inset, close control)?	ui	This worktree has no QLPreviewController probe scene in uikit's conformance/oracle flow, so no SE 2x layout dump was taken. Linux sets navigationItem.title and fills view.bounds; pixel chrome is not claimed.
