precise	question	risk	reason
c:@SAErrorDomain	Is Darwin's loaded SAErrorDomain string exactly "SAErrorDomain" (the macios ErrorDomain annotation) or a reverse-DNS token such as com.apple.SafetyKit.error?	fail-closed	Public graphs and TBD export the symbol but not the payload bytes. Linux uses the macios annotation token and does not insert a localized-description mapping.
c:objc(cs)SACrashDetectionManager(cpy)available	On which Apple devices and OS versions is SACrashDetectionManager.isAvailable true, and does a false value still allow requestAuthorization to be called?	sensors	Linux has no Crash Detection hardware or com.apple.developer.safetykit.crash-detection entitlement, so isAvailable is false. Hardware/entitlement conditions for a true value are not in the public seed.
c:objc(cs)SACrashDetectionManager(im)requestAuthorizationWithCompletionHandler:	When Crash Detection is unavailable, does Apple complete requestAuthorization with (.notDetermined, SAError.notAllowed), (.denied, …), or a different code, and on which queue?	fail-closed	Linux invokes the handler once, synchronously, with (.notDetermined, SAError.notAllowed) and does not mutate authorizationStatus. Graphs and macios async annotations do not record queue identity or Darwin status after a refused prompt.
c:objc(cs)SACrashDetectionManager(im)requestAuthorizationWithCompletionHandler:	Does Apple's async requestAuthorization() overlay throw on failure or return the status value that the completion handler would have delivered?	fail-closed	Linux's async overlay throws SAError.notAllowed and is not invoked by the sealed runner (no run loop / semaphore). The completion-handler overlay is the tested fail-closed path.
c:objc(cs)SAEmergencyResponseManager(im)dialVoiceCallToPhoneNumber:completionHandler:	Does Apple reject an empty or malformed phoneNumber with SAError.invalidArgument, still attempt the call, or always surface notAllowed/operationFailed when telephony is unavailable?	os-service	Linux never places a call: both empty and nonempty numbers complete once with (false, SAError.notAllowed) and do not emit VoiceCallStatus callbacks. Darwin validation and SOS routing are unobserved.
c:objc(cs)SAEmergencyResponseManager(im)dialVoiceCallToPhoneNumber:completionHandler:	When a voice-call request is refused, does Apple still deliver emergencyResponseManager(_:didUpdateVoiceCallStatus:) with .failed (or .dialing then .failed), and on which queue?	os-service	Linux does not notify the delegate from dialVoiceCall. Host SPI can inject a status for wiring tests only; that is not Apple telephony.
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)SACrashDetectionEvent	What keyed-archive keys, secure-coding class list, and location encoding does Apple use for SACrashDetectionEvent?	fail-closed	Linux round-trips date/response/location with host keys "date", "response", and "location". Those names are a port choice, not an Apple observation.
c:objc(cs)SACrashDetectionEvent(py)location	When CoreLocation is linked, is SACrashDetectionEvent.location typed as CoreLocation.CLLocation, and what coordinate/accuracy fields are populated for a real crash event?	sensors	The isolated host gate cannot import CoreLocation, so this module compiles a documented stand-in. Linux never fabricates a live GPS fix from sensors.
s:s5ErrorP10FoundationE20localizedDescriptionSSvp::SYNTHESIZED::c:@E@SAErrorCode	What exact localizedDescription string does Apple emit for SAError(.notAllowed) with empty userInfo?	fail-closed	Linux uses Foundation's Error default and only asserts the string is nonempty. Default userInfo does not insert NSLocalizedDescriptionKey.
module	Must every Crash Detection authorization, event delivery, and emergency voice-call path remain fail-closed on Linux, or is there a documented subset that may succeed without Apple daemons?	fail-closed	Fabricating a crash event from sensors, an authorized status, or a placed emergency call would claim Apple hardware/service success. This starting point always reports notAllowed.
