precise	question	risk	reason
c:@CNCinematicErrorDomain	Is the Darwin-loaded CNCinematicErrorDomain UTF-8 exactly the token CNCinematicErrorDomain, or a reverse-DNS string such as com.apple.Cinematic.ErrorDomain?	fail-closed	macios annotates ErrorDomain ("CNCinematicErrorDomain"); the SDK bytes are absent so the loaded constant is unobserved.
s:9Cinematic11CNDetectionV18accessibilityLabel3forSSSo0B4TypeV_tFZ	What are Apple's localized accessibilityLabel strings for each CNDetectionType (including language and whether catHead/catBody share a token)?	video	Public graphs declare the method but not the returned strings; Linux uses English type-name tokens.
s:9Cinematic11CNDetectionV9disparity2in15sourceDisparity13detectionType05priorF0SfSo6CGRectV_So11CVBufferRefaSo0bH0VSfSgtFZ	How does Apple sample focusDisparity from a disparity CVPixelBuffer (reduction, ROI coordinate space, NaN handling, prior blending)?	ml	The API returns Float without throwing; inventing a disparity map read would fabricate ML success.
s:9Cinematic8CNScriptC5asset7changes8progressACSo7AVAssetC_AC7ChangesVSgSo10NSProgressCSgtYaKcfc	Which CNCinematicError.Code does Apple throw for a non-cinematic AVAsset versus a cinematic asset with truncated metadata, and is progress reported on the caller queue?	video	Linux throws .unsupported immediately; Apple's load path is an AVFoundation cinematic sample parser.
s:9Cinematic18CNRenderingSessionC12encodeRender2to15frameAttributes11sourceImage0I9Disparity011destinationJ0SbSo16MTLCommandBuffer_p_AC05FrameH0VSo11CVBufferRefaA2NtF	Which OSType values do sourcePixelFormatTypes and destinationPixelFormatTypes contain on iOS 26.1, and does encodeRender return false or assert on unsupported formats?	video	Linux lists are empty and encodeRender returns false; Apple's Metal shaders are unpublished.
s:9Cinematic15CNObjectTrackerC11isSupportedSbvpZ	On which devices is CNObjectTracker.isSupported true, and does startTracking fail because of Metal, Neural Engine, or entitlement?	ml	Linux hard-codes false; hardware/ML availability is unobserved.
s:9Cinematic23CNAssetSpatialAudioInfoC22defaultEffectIntensitySfvp	What is Apple's defaultEffectIntensity for a cinematic spatial-audio asset, and which AVFoundation keys appear in assetReaderOutputSettings/assetWriterInputSettings?	video	Linux uses intensity 1 and empty dictionaries as identity placeholders.
s:9Cinematic10CNDecisionV14isUserDecisionSbvp	Does init(time:detectionID:strong:) produce isUserDecision == true before addUserDecision, or only after the script records it?	fail-closed	macios exposes the property; the Swift overlay inits do not take a user flag.
s:9Cinematic8CNScriptC21timeRangeOfTransition5afterSo06CMTimeD0aAA10CNDecisionV_tF	What duration and easing does timeRangeOfTransition(after:) use when the next decision is several seconds later?	video	Linux uses the interval to the next stored decision; Apple's ramp is unobserved.
module	When guest AVFoundation, CoreMedia, CoreVideo, and Metal are linked on EC2, must Cinematic drop its isolated-host lookalikes without changing cinematic identifiers?	fail-closed	The seed lists only Foundation; lookalikes exist so the sealed host gate can compile.
