precise	question	risk	reason
c:@DDErrorDomain	Is Darwin's loaded DDErrorDomain string exactly the token DDErrorDomain, or a reverse-DNS form?	fail-closed	Pinned macios annotates [ErrorDomain ("DDErrorDomain")]; the SDK header bytes are absent so the loaded CFString is unobserved.
c:@E@DDErrorCode@DDErrorCodeNext	What is the stable raw value of DDErrorCodeNext on Darwin?	fail-closed	Api-digester lists next after permission with no integer. Pinned macios skipped Next as a moving C sentinel. This port uses 350007 (auto-increment after permission = 350006) until an Apple-oracle probe lands.
c:@DDDeviceProtocolStringDIAL	What are the loaded Darwin raw bytes of DDDeviceProtocolStringDIAL and DDDeviceProtocolStringInvalid?	fail-closed	Public graph exports the names only. Linux uses the C export identifiers as string identity, matching the DDErrorDomain token policy, not a guessed DIAL UTI.
c:@F@DDDeviceCategoryToString	What exact strings do DDDeviceCategoryToString and the sibling ToString helpers return on Darwin, including unknown raw values?	fail-closed	No header or graph documentation of the returned text. Linux returns the ObjC enumerator spelling from the pinned USR (for example DDDeviceCategoryTV).
c:objc(cs)DDDevice(py)url	What URL does a freshly initialized DDDevice hold on Darwin before url is assigned?	fail-closed	The designated initializer does not take a URL; the property is non-optional. Linux stores fileURLWithPath("/") as a non-nil placeholder, not a discovered location.
c:objc(cs)DDDevice(py)wifiAwareServiceRole	What is Darwin's default wifiAwareServiceRole after init? Neither 0 nor an undocumented zero case exists in the census.	fail-closed	Pinned macios uses Subscriber = 10 and Publisher = 20. Linux defaults to subscriber (the smaller documented raw value).
c:objc(cs)DDDevice(py)protocol	Does Darwin derive DDDevice.protocol from protocolType at init, or leave protocol at invalid until assigned?	fail-closed	Init takes UTType protocolType, not DDDevice.Protocol. Linux stores protocolType as given and defaults protocol to invalid.
s:24DeviceDiscoveryExtension011DDDiscoveryC13ConfigurationC6accept10connectionSbSo15NSXPCConnectionC_tF	When does Darwin accept(connection:) return true (entitlement, codesign, first connection, principal class)?	extension	Linux always returns false: there is no NSXPC extension host, DeviceDiscovery daemon, or discovery entitlement on this platform.
s:So8DDDeviceC24DeviceDiscoveryExtensionE15networkEndpoint7Network10NWEndpointOSgvp	How does Darwin bridge nw_endpoint_t into Network.NWEndpoint, and does assigning it start a path?	network	Macios exposes an Internal nw_endpoint_t. This isolated port stores an NWEndpoint lookalike and never opens a Network path.
module	Does Darwin DDDiscoveryExtensionConfiguration remain @MainActor isolated for init and stored properties, and which queue delivers startDiscovery/didReceiveEvent?	extension	Sealed runner has no run loop. Linux drops MainActor and invokes protocol methods synchronously on the caller. Callback timing and queue choice are unobserved.
