precise	question	risk	reason
s:15ImagePlayground0A7CreatorC5ErrorO11errorDomainSSvpZ	What is ImageCreator.Error.errorDomain on iOS 26.1?	fail-closed	Linux host uses the Swift CustomNSError module.type convention ImagePlayground.ImageCreator.Error; Darwin payload is unobserved.
s:15ImagePlayground0A7CreatorC5ErrorO13errorUserInfoSDySSypGvp	Which LocalizedError keys and values does ImageCreator.Error populate in errorUserInfo?	fail-closed	Isolated host returns an empty dictionary; Apple strings are unobserved.
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	What are the exact Darwin errorDescription strings for each ImageCreator.Error case?	fail-closed	Linux host copies sealed symbol-graph case documentation; Apple localization is unobserved.
s:s5ErrorP10FoundationE20localizedDescriptionSSvp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	Does Darwin localizedDescription equal errorDescription, or the NSError template used by swift-corelibs-foundation?	fail-closed	Linux prints "The operation could not be completed. (ImagePlayground.ImageCreator.Error error N.)."
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	What Int errorCode values does each ImageCreator.Error case use on iOS 26.1?	fail-closed	Linux host uses allCases order starting at 0; Darwin codes are unobserved.
s:15ImagePlayground0aB5StyleV2idSSvp	What are the Darwin id strings for animation, illustration, sketch, and externalProvider?	generative-service	Linux host uses the static member names as identity tokens.
s:15ImagePlayground0aB5StyleV3allSayACGvpZ	Does ImagePlaygroundStyle.all include externalProvider on every device, or only when a third-party provider is configured?	generative-service	Linux host inventory always lists the four graph statics.
s:15ImagePlayground0aB5StyleV4fromACs7Decoder_p_tKcfc	What is the Codable layout of ImagePlaygroundStyle (single-value vs keyed, key names)?	fail-closed	Linux host encodes a single string id; Apple layout is unobserved.
s:15ImagePlayground0aB21PersonalizationPolicyO8rawValueSivp	What Int raw values does ImagePlaygroundPersonalizationPolicy use on iOS 26.1?	fail-closed	Linux host maps automatic=0, enabled=1, disabled=2 without Apple-oracle evidence.
s:15ImagePlayground0aB7ConceptV5imageyACSg10Foundation3URLVFZ	When does Concept.image(URL) return nil besides a non-file URL (missing file, non-image UTI, remote after download)?	generative-service	Linux host accepts any file URL without ImageIO validation and rejects non-file URLs.
c:@CM@ImagePlayground@objc(cs)ImagePlaygroundViewController(cpy)available	On which devices/OS versions is ImagePlaygroundViewController.isAvailable true, and does it require Apple Intelligence entitlements?	generative-service	Linux host omits the UIKit class; availability is unobserved.
s:15ImagePlayground0A7CreatorC6images3for5style5limitQrSayAA0aB7ConceptVG_AA0aB5StyleVSitF	Does images(for:style:limit:) throw unavailable before yielding, and on which queue do AsyncSequence events arrive?	generative-service	CreatedImage requires CGImage, which is unavailable in the isolated compile.
s:7SwiftUI17EnvironmentValuesV15ImagePlaygroundE08supportseF0Sbvp	Does supportsImagePlayground match ImagePlaygroundViewController.isAvailable, and which language/region combinations force false?	generative-service	SwiftUI environment overlay is omitted until a guest SwiftUI module exists.
module	Does ImagePlaygroundViewController.Delegate.imagePlaygroundViewController(_:didCreateImageAt:) deliver a file URL in a temporary directory that the system later deletes?	ui	UIKit surface is omitted until a guest UIKit module exists.
