precise	question	risk	reason
c:@VSOpenTVProviderSettingsURLString	What is the live Darwin string payload of VSOpenTVProviderSettingsURLString?	os-service	TBD exports the symbol but Apple SDK bytes are absent; Linux stores the export name until an oracle probe records the URL used to open TV Provider settings.
c:@VSAccountProviderAuthenticationSchemeSAML	Is the live raw value of VSAccountProviderAuthenticationScheme.saml the ObjC field name VSAccountProviderAuthenticationSchemeSAML or a shorter token such as SAML?	fail-closed	NS_STRING_ENUM payloads are not in the graph; macios only names the Field. Guessing a short token would silently mismatch Apple clients.
c:@VSCheckAccessOptionPrompt	Is VSCheckAccessOption.prompt's raw value VSCheckAccessOptionPrompt, and is the dictionary value for checkAccessStatus a Bool?	privacy	The option is the entitlement/prompt gate. Completing with .granted because the key is present would fabricate privacy consent.
s:22VideoSubscriberAccount06VSUserC0V14deviceCategoryAC017OriginatingDeviceF0Ovp	What deviceCategory does Darwin assign to a VSUserAccount created with init(accountType:updateURL:) on iPhone versus Apple TV?	os-service	The initializer does not take a category. Linux uses .other because this host is not an Apple mobile device.
s:22VideoSubscriberAccount06VSUserC0V19isFromCurrentDeviceSbvp	Does Darwin set isFromCurrentDevice to true for a locally constructed VSUserAccount before it is registered with VSUserAccountManager?	os-service	The property is get-only. Linux sets true for process-local construction; a daemon-assigned value is unobserved.
c:objc(cs)VSAccountManager(im)enqueueAccountMetadataRequest:completionHandler:	On which queue does Darwin invoke the enqueue completion, and does it still call VSAccountManagerDelegate present/dismiss when isInterruptionAllowed is true?	os-service	Static sources do not establish callback timing, queue choice, or UI presentation. Linux completes synchronously with VSError.unsupported and never presents UI.
c:objc(pl)VSAccountManagerDelegate(im)accountManager:presentViewController:	What is the exact UIViewController subclass Darwin presents, and may a Foundation-only Linux port type that parameter without a UIKit lookalike?	privacy	The required delegate methods take UIKit.UIViewController. UIKit is not a declared dependency; fabricating a module-local UIViewController would be a lookalike.
s:So20VSUserAccountManagerC015VideoSubscriberB0E15autoSignInTokenAbCE04AutoghI0Vvp	Does Darwin's autoSignInToken getter throw VSError.unsupported when the entitlement is missing, or return a token with authorization == .notDetermined and value == nil?	privacy	Returning a nil-value token would look like a successful query. Linux throws unsupported and never invents a token.
s:22VideoSubscriberAccount06VSUserC0V2eeoiySbAC_ACtFZ	Which VSUserAccount fields participate in Darwin Equatable/Hashable?	fail-closed	The overlay publishes == and hash(into:). Linux includes every public stored field; Darwin may omit daemon-owned bits such as isFromCurrentDevice.
c:objc(cs)VSSubscription(py)expirationDate	What is the null-resettable default for VSSubscription.expirationDate when the property is never set?	fail-closed	macios marks the property null_resettable. Linux leaves the IUO nil rather than inventing distantFuture or distantPast.
