precise	question	risk	reason
s:8RoomPlan08CapturedA0V16USDExportOptionsV10parametricAEvpZ	What are Apple's exact Int32 raw values for CapturedRoom.USDExportOptions.parametric, .mesh, and .model?	fail-closed	The pinned graph documents OptionSet + Int32 but not the integers. This port uses 1<<0, 1<<1, 1<<2 from API-digester member order. Export still fail-closes with deviceNotSupported, so a wrong bit never produces a USD file.
s:8RoomPlan08CapturedA0V6export2to11metadataURL13modelProvider0D7Optionsy10Foundation0G0V_AKSgAC05ModelI0VSgAC09USDExportJ0VtKF	Which file extensions does CapturedRoom.export accept on iOS (usdz only, or usd/usda/usdc as well), and is metadataURL validated with the same extension set?	fail-closed	Docs say the output is USD. Linux validates file-scheme URLs then throws deviceNotSupported and never writes a mesh. Apple's exact extension matrix is unobserved.
s:8RoomPlan08CapturedA0V6ObjectV8CategoryO21supportedCombinationsSaySayAA0cA9Attribute_pGGvp	What is the exact Apple table for Object.Category.supportedCombinations (cartesian of supported attribute types, singles only, or another pairing rule)?	fail-closed	Docs say the framework defines the array. This port returns the cartesian product of one-value-per-supported-type (including singles) for chair/table/sofa/storage and empty otherwise. ModelProvider still rejects combinations no category supports.
s:8RoomPlan9ChairTypeO15shortIdentifierSSvp	Is CapturedRoomAttribute.shortIdentifier identical to the String rawValue (case name), or a distinct localization key?	fail-closed	The protocol calls it a human-readable identifier. String RawRepresentable docs in the graph use the case name as rawValue. This port returns rawValue; Apple's bundle copy is unobserved.
s:8RoomPlan08CapturedA0V4fromACs7Decoder_p_tKcfc	What are Apple's exact Codable keys and container layout for CapturedRoom, Surface.Category.door(isOpen:), existentials in attributes, and opaque CapturedRoomData?	fail-closed	Linux uses property-name keyed JSON plus a type/value attribute record so tests can round-trip. Apple's on-device archives are unobserved and must not be treated as interchangeable.
s:8RoomPlan0A14CaptureSessionC3run13configurationyAC13ConfigurationV_tF	Does RoomCaptureSession.run(configuration:) on an unsupported device invoke captureSession(_:didEndWith:error:) synchronously on the caller, hop to an undocumented queue, or skip the callback?	arkit	Linux has no LiDAR. This port delivers deviceNotSupported (or invalidARConfiguration if the client replaced arSession) on the caller thread and never calls didStartWith. Apple's queue and timing are unobserved.
s:8RoomPlan0A19CaptureViewDelegatePAAE07captureD013shouldPresent5errorSbAA08CapturedA4DataV_s5Error_pSgtF	What Boolean does the default RoomCaptureViewDelegate.captureView(shouldPresent:error:) return on Apple?	scanning	The default exists in the graph. This port returns true so processing is not silently dropped; the live coaching UI is still absent on Linux.
s:8RoomPlan0A11CaptureViewC14isModelEnabledSbvp	What is the default of RoomCaptureView.isModelEnabled, and does setting it true on an unsupported device still request a miniature USD preview?	scanning	Docs describe the miniature rendering. Linux stores the flag, never renders, and defaults to false so success is not invented.
s:8RoomPlan0A7BuilderC08capturedA04fromAA08CapturedA0VAA0fA4DataV_tYaKF	Does RoomBuilder.capturedRoom(from:) on an unsupported device throw deviceNotSupported, invalidInput, or another BuildError, and on which executor?	fail-closed	The method is async. Linux throws deviceNotSupported immediately. Empty versus opaque payload distinctions and Apple's actor/queue are unobserved; the identifier is declared, not implemented, because the sealed runner cannot await.
s:8RoomPlan16StructureBuilderC08capturedC04fromAA08CapturedC0VSayAA0gA0VG_tYaKF	Does StructureBuilder.capturedStructure(from:) throw insufficientInput for an empty array on Apple, or only invalidRoomLocation when world maps are incompatible?	arkit	Docs require compatible ARKit world space. Linux throws insufficientInput for empty input and deviceNotSupported otherwise. The identifier is declared because the sealed runner cannot await.
module	Does RoomCaptureView require UIKit UIView inheritance for NSCoder round-trips, and what is the archived layout?	scanning	UIKit is not a declared dependency. Linux implements RoomCaptureView as NSObject, init(coder:) returns nil, and subviews is empty. Apple's UIView archive is unobserved.
