precise	question	risk	reason
s:14GameController14GCInputButtonASSvp	What is the exact NSString payload of GCInputButtonA (and the other GCInput* / GCProductCategory* constants) on iPhoneOS 26.1?	input	Public headers export the symbols but not the string bytes; Linux uses documented human-readable names that may differ from Apple's runtime payload.
c:@F@NSDataFromGCExtendedGamepadSnapshotData	What is Apple's exact packed binary layout (endianness, padding, ObjCBool width) for GCExtendedGamepadSnapshotData?	input	This port uses a documented little-endian field order that round-trips locally; Apple ABI compatibility is unobserved.
c:objc(cs)GCControllerButtonInput(py)pressed	At what analog value does GCControllerButtonInput.isPressed become true on Apple's runtime?	input	Linux uses value > 0. Apple may apply a deadzone or 0.5 digital threshold.
c:objc(cs)GCVirtualController(im)connectWithReplyHandler:	Does GCVirtualController.connect ever succeed without an entitlement or UI window on iOS 26.1, and what NSError domain/code does a denied connect use?	host-driven	Linux fail-closes with a GameController-domain error because there is no HID injection service.
c:objc(cs)GCDualSenseAdaptiveTrigger(im)setModeOff	When setModeOff is called on a connected DualSense, does status become unknown, feedbackNoLoad, or another code before hardware reports?	hardware	Linux records mode=.off with status=.unknown and never claims a physical trigger effect.
c:objc(cs)GCDeviceHaptics(im)createEngineWithLocality:	Does createEngine(withLocality:) return nil or throw when CoreHaptics is missing, and which localities are advertised on a DualSense vs DualShock?	hardware	This Linux module has no CoreHaptics type and advertises no localities.
c:@GCControllerDidConnectNotification	Is the NSNotification.Name raw value the C constant name (GCControllerDidConnectNotification) or a shorter token?	input	Linux uses the C constant identifier as the notification name.
c:objc(cs)GCKeyboard(cpy)coalescedKeyboard	Does Apple coalesce multiple HID keyboards into one GCKeyboard, and does a simulated single keyboard match that identity?	input	Linux publishes one coalesced keyboard from GCSimulatedInput; /dev/input is absent in this host.
c:objc(cs)GCController(cm)controllers	When a snapshot from withExtendedGamepad() exists, does it ever appear in controllers() on iOS 26.1?	input	Linux keeps snapshots off the connected registry; only GCSimulatedInput.attach publishes devices.
module	Which UIKit/SwiftUI types (UIScene, UIBezierPath, View.handlesGameControllerEvents) must exist before the GameController UI overlays can be declared without fabricating UIKit?	host-driven	This isolated toolchain has Foundation and Dispatch but not UIKit or SwiftUI; those overlays are omitted until the real modules are imported.
